mode_prefix,statistic,mode,n_pairs,n_obs,combined_kruskal_fisher_p,combined_kruskal_stouffer_p,combined_jonckheere_fisher_p,combined_jonckheere_stouffer_p,lmm_class_lrt_p,lmm_class_lrt_df,lmm_covariates,permutation_p,permutation_observed_sumH,permutation_null_mean,lmm_converged,lmm_interaction_p,lmm_error
raw,stddev_centered,raw,51.0,336.0,0.001451705949973415,0.011997972188618799,0.10195742665095034,0.1441449491645364,,,,0.014298570142985701,59.62780634532925,31.527314831164666,,,statsmodels not installed: No module named 'statsmodels'
raw,stddev_residual,raw,51.0,336.0,0.001708672593854,0.0038560720091283876,0.1975521829766137,0.23548037975787212,,,,0.0110988901109889,60.17555019427768,31.503760469160568,,,statsmodels not installed: No module named 'statsmodels'
raw,max_abs_centered,raw,51.0,336.0,6.195082877046739e-05,0.002520693158230469,0.320223700090903,0.35803050153401555,,,,0.0020997900209979003,69.90900508876491,31.52109300061204,,,statsmodels not installed: No module named 'statsmodels'
raw,max_abs_residual,raw,51.0,336.0,0.0018613296019449421,0.0032762997293811174,0.39640675256720853,0.3747267772333435,,,,0.013498650134986502,60.07007284339794,31.478587510142894,,,statsmodels not installed: No module named 'statsmodels'
resid,stddev_centered,resid_on_seq_identity,51.0,336.0,0.13700408673689113,0.1653245285066448,0.20240727373043782,0.19909089835916194,,,,0.16418358164183583,40.627612534205056,31.470542242448538,,,statsmodels not installed: No module named 'statsmodels'
resid,stddev_residual,resid_on_seq_identity,51.0,336.0,0.19950892561857678,0.16419138955800955,0.2509623998038975,0.2749829738788479,,,,0.20267973202679732,38.838061687408214,31.41413014360799,,,statsmodels not installed: No module named 'statsmodels'
resid,max_abs_centered,resid_on_seq_identity,51.0,336.0,0.04350521801180199,0.08586566485410524,0.3922854346816718,0.36592097144772967,,,,0.07329267073292671,46.17389062598147,31.499838998312953,,,statsmodels not installed: No module named 'statsmodels'
resid,max_abs_residual,resid_on_seq_identity,51.0,336.0,0.17604642014635224,0.12859994972297561,0.448333056694498,0.3995825327689986,,,,0.17628237176282371,39.88187986052012,31.421259053426382,,,statsmodels not installed: No module named 'statsmodels'
highid,stddev_centered,identity_ge_0.95,41.0,271.0,0.04569255942892374,0.06770278948424863,0.026186045826878262,0.05431549187342769,,,,0.08969103089691031,36.67288019955102,23.840470425360834,,,statsmodels not installed: No module named 'statsmodels'
highid,stddev_residual,identity_ge_0.95,41.0,271.0,0.05829948978994329,0.0369299752968042,0.05368579445526434,0.09700217415531348,,,,0.09769023097690231,36.14023940350352,23.852799018361974,,,statsmodels not installed: No module named 'statsmodels'
highid,max_abs_centered,identity_ge_0.95,41.0,271.0,0.012101045932790079,0.01759435359101616,0.10940657101357579,0.16974724878985764,,,,0.041995800419958006,42.22551019932315,23.848565727821942,,,statsmodels not installed: No module named 'statsmodels'
highid,max_abs_residual,identity_ge_0.95,41.0,271.0,0.05380032761187047,0.031502816542955586,0.17517639350084013,0.1878510501750792,,,,0.09679032096790322,36.60656050898731,23.852770042772697,,,statsmodels not installed: No module named 'statsmodels'
lmmcov,stddev_centered,lmm_seq_identity_covariate,,,,,,,,,,,,,,,statsmodels not installed: No module named 'statsmodels'
lmmcov,stddev_residual,lmm_seq_identity_covariate,,,,,,,,,,,,,,,statsmodels not installed: No module named 'statsmodels'
lmmcov,max_abs_centered,lmm_seq_identity_covariate,,,,,,,,,,,,,,,statsmodels not installed: No module named 'statsmodels'
lmmcov,max_abs_residual,lmm_seq_identity_covariate,,,,,,,,,,,,,,,statsmodels not installed: No module named 'statsmodels'
