pair_id,pdbid1,chain1,name1,organism1,pdbid2,chain2,name2,organism2,display_name
1dzlA_5keqF,1dzl,A,LATE MAJOR CAPSID PROTEIN L1,Human papillomavirus 16,5keq,F,Major capsid protein L1,Human papillomavirus 16,LATE MAJOR CAPSID PROTEIN L1 / Major capsid protein L1
1eboE_5fhcJ,1ebo,E,EBOLA VIRUS ENVELOPE PROTEIN CHIMERA CONSISTING OF A FRAGMENT OF GCN4 ZIPPER CLONED N-TERMINAL TO A FRAGMENT OF GP2,Orthoebolavirus sp.,5fhc,J,Envelope glycoprotein,"Ebola virus - Mayinga, Zaire, 1976",EBOLA VIRUS ENVELOPE PROTEIN CHIMERA CONSISTING OF A FRAGMENT OF GCN4 ZIPPER CLONED N-TERMINAL TO A FRAGMENT OF GP2 / Envelope glycoprotein
1fzpD_2frhA,1fzp,D,,,2frh,A,Staphylococcal accessory regulator A,Staphylococcus aureus,Staphylococcal accessory regulator A
1iytA_2naoF,1iyt,A,Alzheimer's disease amyloid,,2nao,F,Beta-amyloid protein 42,Homo sapiens,Alzheimer's disease amyloid / Beta-amyloid protein 42
1jfkA_2nxqB,1jfk,A,CALCIUM-BINDING PROTEIN,Entamoeba histolytica,2nxq,B,Calcium-binding protein,Entamoeba histolytica HM-1:IMSS,CALCIUM-BINDING PROTEIN
1rk4B_1k0nA,1rk4,B,CHLORIDE INTRACELLULAR CHANNEL PROTEIN 1,Homo sapiens,1k0n,A,CHLORIDE INTRACELLULAR CHANNEL PROTEIN 1,Homo sapiens,CHLORIDE INTRACELLULAR CHANNEL PROTEIN 1
1kctA_3t1pA,1kct,A,ALPHA1-ANTITRYPSIN,Homo sapiens,3t1p,A,Alpha-1-antitrypsin,Homo sapiens,ALPHA1-ANTITRYPSIN / Alpha-1-antitrypsin
1miqB_1qs8B,1miq,B,plasmepsin,Plasmodium vivax,1qs8,B,PLASMEPSIN,Plasmodium vivax,plasmepsin
1mnmD_1mnmC,1mnm,D,PROTEIN (MAT ALPHA-2 TRANSCRIPTIONAL REPRESSOR),Saccharomyces cerevisiae,1mnm,C,PROTEIN (MAT ALPHA-2 TRANSCRIPTIONAL REPRESSOR),Saccharomyces cerevisiae,PROTEIN (MAT ALPHA-2 TRANSCRIPTIONAL REPRESSOR)
1nocA_1qomB,1noc,A,INDUCIBLE NITRIC OXIDE SYNTHASE,Mus musculus,1qom,B,NITRIC OXIDE SYNTHASE,Mus musculus,INDUCIBLE NITRIC OXIDE SYNTHASE / NITRIC OXIDE SYNTHASE
1nqjB_1nqdA,1nqj,B,class 1 collagenase,Hathewaya histolytica,1nqd,A,class 1 collagenase,Hathewaya histolytica,class 1 collagenase
1nrjB_2gedB,1nrj,B,Signal recognition particle receptor beta subunit,Saccharomyces cerevisiae,2ged,B,Signal recognition particle receptor beta subunit,Saccharomyces cerevisiae,Signal recognition particle receptor beta subunit
