pair_id,cluster,n_seqs,mean_pid_to_F1,median_pid_to_F1,mean_pid_to_F2,median_pid_to_F2,mean_pid_to_query,median_pid_to_query
1dzlA_5keqF,ShallowMsa_000,53,0.4725851988589916,0.473568281938326,,,0.4725851988589916,0.473568281938326
1dzlA_5keqF,ShallowMsa_001,51,0.520170902872827,0.5230769230769231,,,0.520170902872827,0.5230769230769231
1dzlA_5keqF,ShallowMsa_002,51,0.6536785510319465,0.6740088105726872,,,0.6536785510319465,0.6740088105726872
1dzlA_5keqF,ShallowMsa_003,41,0.5151081446200322,0.5132743362831859,,,0.5151081446200322,0.5132743362831859
1dzlA_5keqF,ShallowMsa_004,37,0.5055941532642758,0.5077262693156733,,,0.5055941532642758,0.5077262693156733
1dzlA_5keqF,ShallowMsa_005,35,0.4966886949204816,0.49888641425389757,,,0.4966886949204816,0.49888641425389757
1dzlA_5keqF,ShallowMsa_006,34,0.47959834227891074,0.516164245777002,,,0.47959834227891074,0.516164245777002
1dzlA_5keqF,ShallowMsa_007,33,0.5356461626901721,0.5330396475770925,,,0.5356461626901721,0.5330396475770925
1dzlA_5keqF,ShallowMsa_008,33,0.5371398237441886,0.539647577092511,,,0.5371398237441886,0.539647577092511
1dzlA_5keqF,ShallowMsa_009,33,0.5254628816146871,0.5254988913525499,,,0.5254628816146871,0.5254988913525499
1dzlA_5keqF,ShallowMsa_010,33,0.7949770392200567,0.7738359201773836,,,0.7949770392200567,0.7738359201773836
1dzlA_5keqF,ShallowMsa_011,32,0.5512131862829976,0.5506607929515418,,,0.5512131862829976,0.5506607929515418
1dzlA_5keqF,ShallowMsa_012,31,0.489339152633314,0.4911111111111111,,,0.489339152633314,0.4911111111111111
1dzlA_5keqF,ShallowMsa_013,31,0.483555362947702,0.48123620309050774,,,0.483555362947702,0.48123620309050774
1dzlA_5keqF,ShallowMsa_014,31,0.5584520317754113,0.5560439560439561,,,0.5584520317754113,0.5560439560439561
1dzlA_5keqF,ShallowMsa_015,29,0.5463064312610503,0.5420353982300885,,,0.5463064312610503,0.5420353982300885
1dzlA_5keqF,ShallowMsa_016,29,0.6723189135433615,0.6674008810572687,,,0.6723189135433615,0.6674008810572687
1dzlA_5keqF,ShallowMsa_017,27,0.5646221758897161,0.5484581497797357,,,0.5646221758897161,0.5484581497797357
1dzlA_5keqF,ShallowMsa_018,27,0.49774963733438266,0.4966887417218543,,,0.49774963733438266,0.4966887417218543
1dzlA_5keqF,ShallowMsa_019,26,0.6384710459794035,0.6442792792792793,,,0.6384710459794035,0.6442792792792793
1dzlA_5keqF,ShallowMsa_020,25,0.5731317381366572,0.5462555066079295,,,0.5731317381366572,0.5462555066079295
1dzlA_5keqF,ShallowMsa_021,25,0.5232263992148218,0.5221238938053098,,,0.5232263992148218,0.5221238938053098
1dzlA_5keqF,ShallowMsa_022,25,0.5258554639388135,0.5274725274725275,,,0.5258554639388135,0.5274725274725275
1dzlA_5keqF,ShallowMsa_023,25,0.5033432253072202,0.5022026431718062,,,0.5033432253072202,0.5022026431718062
1dzlA_5keqF,ShallowMsa_024,25,0.5493886084935476,0.5484581497797357,,,0.5493886084935476,0.5484581497797357
1dzlA_5keqF,ShallowMsa_025,25,0.5317665247215706,0.5315315315315315,,,0.5317665247215706,0.5315315315315315
1dzlA_5keqF,ShallowMsa_026,24,0.5085637423058277,0.5071817187286332,,,0.5085637423058277,0.5071817187286332
1dzlA_5keqF,ShallowMsa_027,23,0.7401733492635117,0.7449664429530202,,,0.7401733492635117,0.7449664429530202
1dzlA_5keqF,ShallowMsa_028,23,0.4575815621776598,0.45594713656387664,,,0.4575815621776598,0.45594713656387664
1dzlA_5keqF,ShallowMsa_029,23,0.5039801522699011,0.5022026431718062,,,0.5039801522699011,0.5022026431718062
1dzlA_5keqF,ShallowMsa_030,23,0.5129492528068834,0.5110132158590308,,,0.5129492528068834,0.5110132158590308
1dzlA_5keqF,ShallowMsa_031,23,0.7165197619758585,0.7212389380530974,,,0.7165197619758585,0.7212389380530974
1dzlA_5keqF,ShallowMsa_032,22,0.5613416277290155,0.5418502202643172,,,0.5613416277290155,0.5418502202643172
1dzlA_5keqF,ShallowMsa_033,21,0.4814533428719122,0.4811529933481153,,,0.4814533428719122,0.4811529933481153
1dzlA_5keqF,ShallowMsa_034,21,0.514877697753751,0.5132743362831859,,,0.514877697753751,0.5132743362831859
1dzlA_5keqF,ShallowMsa_035,21,0.49544118002601195,0.4967032967032967,,,0.49544118002601195,0.4967032967032967
1dzlA_5keqF,ShallowMsa_036,21,0.5157447609795254,0.513215859030837,,,0.5157447609795254,0.513215859030837
1dzlA_5keqF,ShallowMsa_037,21,0.5550660792951542,0.5572687224669604,,,0.5550660792951542,0.5572687224669604
1dzlA_5keqF,ShallowMsa_038,20,0.5417002964689236,0.5452547452547452,,,0.5417002964689236,0.5452547452547452
1dzlA_5keqF,ShallowMsa_039,20,0.5748713910971434,0.5726872246696035,,,0.5748713910971434,0.5726872246696035
1dzlA_5keqF,ShallowMsa_040,20,0.5163642741025705,0.5263157894736842,,,0.5163642741025705,0.5263157894736842
1dzlA_5keqF,ShallowMsa_041,19,0.5297947388213532,0.5320088300220751,,,0.5297947388213532,0.5320088300220751
1dzlA_5keqF,ShallowMsa_042,19,0.5521678645954091,0.5550660792951542,,,0.5521678645954091,0.5550660792951542
1dzlA_5keqF,ShallowMsa_043,19,0.5267595962679733,0.5221238938053098,,,0.5267595962679733,0.5221238938053098
1dzlA_5keqF,ShallowMsa_044,19,0.5522224704875016,0.552863436123348,,,0.5522224704875016,0.552863436123348
1dzlA_5keqF,ShallowMsa_045,15,0.5341654988739791,0.534521158129176,,,0.5341654988739791,0.534521158129176
1dzlA_5keqF,ShallowMsa_046,13,0.30324196113003876,0.3045822102425876,,,0.30324196113003876,0.3045822102425876
1dzlA_5keqF,ShallowMsa_047,12,0.5077349781865572,0.4602212855637513,,,0.5077349781865572,0.4602212855637513
1dzlA_5keqF,ShallowMsa_048,11,0.46477718763108417,0.3623853211009174,,,0.46477718763108417,0.3623853211009174
1eboE_5fhcJ,ShallowMsa_000,102,0.3054961245844764,0.30272911051212936,,,0.3054961245844764,0.30272911051212936
1eboE_5fhcJ,ShallowMsa_001,66,0.3135984395655286,0.3103174603174603,,,0.3135984395655286,0.3103174603174603
1eboE_5fhcJ,ShallowMsa_002,51,0.6841001675060662,0.6805555555555556,,,0.6841001675060662,0.6805555555555556
1eboE_5fhcJ,ShallowMsa_003,41,0.3294754722708267,0.32727272727272727,,,0.3294754722708267,0.32727272727272727
1eboE_5fhcJ,ShallowMsa_004,35,0.3093688907371159,0.3170731707317073,,,0.3093688907371159,0.3170731707317073
1eboE_5fhcJ,ShallowMsa_005,33,0.3079526725289749,0.3037974683544304,,,0.3079526725289749,0.3037974683544304
1eboE_5fhcJ,ShallowMsa_006,33,0.3070586471378747,0.3076923076923077,,,0.3070586471378747,0.3076923076923077
1eboE_5fhcJ,ShallowMsa_007,30,0.31838398963770803,0.3104851330203443,,,0.31838398963770803,0.3104851330203443
1eboE_5fhcJ,ShallowMsa_008,30,0.34185436416271336,0.325,,,0.34185436416271336,0.325
1eboE_5fhcJ,ShallowMsa_009,29,0.32291699933420875,0.3269230769230769,,,0.32291699933420875,0.3269230769230769
1eboE_5fhcJ,ShallowMsa_010,25,0.3179699842483878,0.3191489361702128,,,0.3179699842483878,0.3191489361702128
1eboE_5fhcJ,ShallowMsa_011,23,0.31882532635007,0.32142857142857145,,,0.31882532635007,0.32142857142857145
1eboE_5fhcJ,ShallowMsa_012,22,0.29198192102131626,0.2858054226475279,,,0.29198192102131626,0.2858054226475279
1eboE_5fhcJ,ShallowMsa_013,22,0.29753029016648563,0.2978723404255319,,,0.29753029016648563,0.2978723404255319
1eboE_5fhcJ,ShallowMsa_014,22,0.31651651840766815,0.31879299562226393,,,0.31651651840766815,0.31879299562226393
1eboE_5fhcJ,ShallowMsa_015,21,0.3166868576406015,0.3150684931506849,,,0.3166868576406015,0.3150684931506849
1eboE_5fhcJ,ShallowMsa_016,21,0.32305240936954494,0.3269230769230769,,,0.32305240936954494,0.3269230769230769
1eboE_5fhcJ,ShallowMsa_017,21,0.3590049637427426,0.3269230769230769,,,0.3590049637427426,0.3269230769230769
1eboE_5fhcJ,ShallowMsa_018,20,0.3439881701301157,0.34573170731707314,,,0.3439881701301157,0.34573170731707314
1eboE_5fhcJ,ShallowMsa_019,20,0.3220713931455067,0.32304347826086954,,,0.3220713931455067,0.32304347826086954
1eboE_5fhcJ,ShallowMsa_020,20,0.3171880817866003,0.3112535612535613,,,0.3171880817866003,0.3112535612535613
1eboE_5fhcJ,ShallowMsa_021,19,0.3151045874366472,0.3132530120481928,,,0.3151045874366472,0.3132530120481928
1eboE_5fhcJ,ShallowMsa_022,19,0.3214843508448204,0.3235294117647059,,,0.3214843508448204,0.3235294117647059
1eboE_5fhcJ,ShallowMsa_023,16,0.3196556280992918,0.3146464646464646,,,0.3196556280992918,0.3146464646464646
1eboE_5fhcJ,ShallowMsa_024,15,0.30939613415776773,0.31645569620253167,,,0.30939613415776773,0.31645569620253167
1eboE_5fhcJ,ShallowMsa_025,14,0.3266390269542936,0.32456140350877194,,,0.3266390269542936,0.32456140350877194
1eboE_5fhcJ,ShallowMsa_026,14,0.3247806608412517,0.3237577639751553,,,0.3247806608412517,0.3237577639751553
1eboE_5fhcJ,ShallowMsa_027,14,0.3194190858039863,0.31853658536585366,,,0.3194190858039863,0.31853658536585366
1eboE_5fhcJ,ShallowMsa_028,13,0.338211842712661,0.3333333333333333,,,0.338211842712661,0.3333333333333333
1eboE_5fhcJ,ShallowMsa_029,13,0.31629211979571903,0.32098765432098764,,,0.31629211979571903,0.32098765432098764
1eboE_5fhcJ,ShallowMsa_030,12,0.30836753896030944,0.3011627906976744,,,0.30836753896030944,0.3011627906976744
1eboE_5fhcJ,ShallowMsa_031,12,0.3279386685293914,0.3191489361702128,,,0.3279386685293914,0.3191489361702128
1eboE_5fhcJ,ShallowMsa_032,12,0.31670617483811286,0.3191489361702128,,,0.31670617483811286,0.3191489361702128
1eboE_5fhcJ,ShallowMsa_033,12,0.30171975013571367,0.3043280871670702,,,0.30171975013571367,0.3043280871670702
1eboE_5fhcJ,ShallowMsa_034,12,0.2971316126285052,0.2911392405063291,,,0.2971316126285052,0.2911392405063291
1eboE_5fhcJ,ShallowMsa_035,12,0.38673745200497606,0.3870967741935484,,,0.38673745200497606,0.3870967741935484
1eboE_5fhcJ,ShallowMsa_036,11,0.30845829749573067,0.3076923076923077,,,0.30845829749573067,0.3076923076923077
1eboE_5fhcJ,ShallowMsa_037,11,0.3119094117243979,0.3148148148148148,,,0.3119094117243979,0.3148148148148148
1eboE_5fhcJ,ShallowMsa_038,11,0.4583775990446922,0.3157894736842105,,,0.4583775990446922,0.3157894736842105
1eboE_5fhcJ,ShallowMsa_039,11,0.3140426932002167,0.32,,,0.3140426932002167,0.32
1eboE_5fhcJ,ShallowMsa_040,11,0.3112776722539348,0.3170731707317073,,,0.3112776722539348,0.3170731707317073
1eboE_5fhcJ,ShallowMsa_041,11,0.2953351456853295,0.3108108108108108,,,0.2953351456853295,0.3108108108108108
1eboE_5fhcJ,ShallowMsa_042,11,0.29957159672606826,0.2926829268292683,,,0.29957159672606826,0.2926829268292683
1eboE_5fhcJ,ShallowMsa_043,11,0.2883949621440609,0.2823529411764706,,,0.2883949621440609,0.2823529411764706
1fzpD_2frhA,ShallowMsa_000,46,0.33572950565882687,0.33166666666666667,,,0.33572950565882687,0.33166666666666667
1fzpD_2frhA,ShallowMsa_001,44,0.29540347048051435,0.2982868195634153,,,0.29540347048051435,0.2982868195634153
1fzpD_2frhA,ShallowMsa_002,43,0.5743192745007116,0.81,,,0.5743192745007116,0.81
1fzpD_2frhA,ShallowMsa_003,41,0.24729217271436948,0.25,,,0.24729217271436948,0.25
1fzpD_2frhA,ShallowMsa_004,37,0.33199338540203965,0.32978723404255317,,,0.33199338540203965,0.32978723404255317
1fzpD_2frhA,ShallowMsa_005,36,0.24854902588848013,0.24390243902439024,,,0.24854902588848013,0.24390243902439024
1fzpD_2frhA,ShallowMsa_006,36,0.3170902146651436,0.30284818395610136,,,0.3170902146651436,0.30284818395610136
1fzpD_2frhA,ShallowMsa_007,35,0.26151789035175493,0.2608695652173913,,,0.26151789035175493,0.2608695652173913
1fzpD_2frhA,ShallowMsa_008,32,0.8450483064806936,0.83,,,0.8450483064806936,0.83
1fzpD_2frhA,ShallowMsa_009,32,0.24596693157785293,0.25,,,0.24596693157785293,0.25
1fzpD_2frhA,ShallowMsa_010,32,0.25631202010199106,0.25,,,0.25631202010199106,0.25
1fzpD_2frhA,ShallowMsa_011,31,0.601098508507285,0.7,,,0.601098508507285,0.7
1fzpD_2frhA,ShallowMsa_012,31,0.38393484919187876,0.3870967741935484,,,0.38393484919187876,0.3870967741935484
1fzpD_2frhA,ShallowMsa_013,31,0.27384657411454777,0.28205128205128205,,,0.27384657411454777,0.28205128205128205
1fzpD_2frhA,ShallowMsa_014,31,0.25383412993425253,0.2564102564102564,,,0.25383412993425253,0.2564102564102564
1fzpD_2frhA,ShallowMsa_015,31,0.2692666875326287,0.2682926829268293,,,0.2692666875326287,0.2682926829268293
1fzpD_2frhA,ShallowMsa_016,30,0.3121590362575318,0.2826086956521739,,,0.3121590362575318,0.2826086956521739
1fzpD_2frhA,ShallowMsa_017,30,0.2701733805130018,0.27346041055718473,,,0.2701733805130018,0.27346041055718473
1fzpD_2frhA,ShallowMsa_018,29,0.25441735265664767,0.2564102564102564,,,0.25441735265664767,0.2564102564102564
1fzpD_2frhA,ShallowMsa_019,25,0.23839651964899197,0.24390243902439024,,,0.23839651964899197,0.24390243902439024
1fzpD_2frhA,ShallowMsa_020,25,0.2713016111423681,0.26785714285714285,,,0.2713016111423681,0.26785714285714285
1fzpD_2frhA,ShallowMsa_021,24,0.7200000000000001,0.69,,,0.7200000000000001,0.69
1fzpD_2frhA,ShallowMsa_022,24,0.23778232930858523,0.23380171740827477,,,0.23778232930858523,0.23380171740827477
1fzpD_2frhA,ShallowMsa_023,24,0.25642714571624853,0.2563069114793253,,,0.25642714571624853,0.2563069114793253
1fzpD_2frhA,ShallowMsa_024,24,0.2616248158961011,0.25900621118012424,,,0.2616248158961011,0.25900621118012424
1fzpD_2frhA,ShallowMsa_025,23,0.27574117340189974,0.2753623188405797,,,0.27574117340189974,0.2753623188405797
1fzpD_2frhA,ShallowMsa_026,23,0.2676921086863916,0.28888888888888886,,,0.2676921086863916,0.28888888888888886
1fzpD_2frhA,ShallowMsa_027,23,0.2819219857927385,0.28,,,0.2819219857927385,0.28
