cluster,leaf,pref_AF2,pref_AF3,pref_Boltz2,pref_ESM,pref_MSAT,pref_CCMpred,pref_DDG,pref_S4PRED
ShallowMsa_000,S00,Amc,Amc,F2c,Amc,F2c,Amc,Amc,Amc
ShallowMsa_001,S01,F2c,F2c,F2c,Amc,F2c,Amc,Amc,Amc
ShallowMsa_002,S02,F1c,F1c,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_003,S03,F1c,F1c,F1c,F2c,Amc,Amc,Amc,Amc
ShallowMsa_004,S04,F2c,Amc,F1c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_005,S05,F1c,F1c,F1c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_006,S06,F2c,Amc,F1c,Amc,Amc,Amc,F1c,F1c
ShallowMsa_007,S07,Amc,F1c,Amc,Amc,Amc,Amc,Amc,F1c
ShallowMsa_008,S08,F1c,Amc,F2c,Amc,Amc,Amc,F2c,F2c
ShallowMsa_009,S09,F1c,Amc,F1c,Amc,F2c,Amc,F1c,F1c
ShallowMsa_010,S10,Amc,F1c,F1c,Amc,F2c,Amc,Amc,Amc
ShallowMsa_011,S11,Amc,Amc,Amc,F1c,F2c,Amc,Amc,F1c
ShallowMsa_012,S12,Amc,Amc,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_013,S13,F2c,Amc,F2c,Amc,Amc,Amc,F2c,Amc
ShallowMsa_014,S14,F1c,F2c,Amc,Amc,F2c,Amc,Amc,F2c
ShallowMsa_015,S15,Amc,Amc,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_016,S16,F1c,F1c,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_017,S17,Amc,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_018,S18,Amc,F1c,F1c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_019,S19,F1c,Amc,Amc,F1c,Amc,Amc,F1c,Amc
ShallowMsa_020,S20,Amc,Amc,F1c,Amc,Amc,Amc,F2c,Amc
ShallowMsa_021,S21,F2c,F2c,F1c,F2c,Amc,Amc,Amc,Amc
ShallowMsa_022,S22,Amc,Amc,F1c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_023,S23,F1c,Amc,F1c,Amc,Amc,Amc,F2c,Amc
ShallowMsa_024,S24,Amc,F1c,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_025,S25,F2c,F2c,Amc,Amc,Amc,Amc,Amc,F1c
ShallowMsa_026,S26,F2c,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_027,S27,Amc,Amc,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_028,S28,Amc,F1c,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_029,S29,Amc,Amc,F2c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_030,S30,F2c,Amc,F1c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_031,S31,F2c,F2c,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_032,S32,Amc,Amc,Amc,Amc,Amc,Amc,Amc,F1c
ShallowMsa_033,S33,F1c,F1c,F2c,Amc,Amc,Amc,F1c,F2c
ShallowMsa_034,S34,Amc,Amc,F1c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_035,S35,Amc,F1c,F1c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_036,S36,F2c,F2c,Amc,F2c,Amc,Amc,F2c,Amc
ShallowMsa_037,S37,F1c,F1c,F1c,Amc,Amc,Amc,F2c,F1c
ShallowMsa_038,S38,F1c,F1c,Amc,Amc,Amc,Amc,Amc,F1c
ShallowMsa_039,S39,Amc,Amc,F1c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_040,S40,F2c,Amc,F2c,Amc,Amc,Amc,F2c,F1c
ShallowMsa_041,S41,F1c,F2c,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_042,S42,F1c,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_043,S43,F1c,F1c,F1c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_044,S44,F1c,F1c,F1c,F1c,Amc,Amc,F1c,F1c
ShallowMsa_045,S45,F1c,F1c,F2c,F2c,Amc,Amc,Amc,Amc
ShallowMsa_046,S46,F1c,F1c,F1c,Amc,Amc,Amc,F1c,F1c
ShallowMsa_047,S47,Amc,F1c,Amc,Amc,Amc,Amc,F2c,F1c
ShallowMsa_048,S48,F1c,F1c,F1c,F1c,Amc,Amc,F1c,Amc
ShallowMsa_049,S49,F1c,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_050,S50,Amc,F1c,Amc,Amc,Amc,Amc,F2c,Amc
ShallowMsa_051,S51,F1c,F1c,F1c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_052,S52,F1c,Amc,F1c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_053,S53,F1c,Amc,F1c,F2c,Amc,Amc,Amc,Amc
ShallowMsa_054,S54,Amc,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_055,S55,Amc,Amc,F1c,Amc,Amc,Amc,Amc,Amc
