mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_000,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_000.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_001,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_001.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_002,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_002.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_003,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_003.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_004,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_004.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_005,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_005.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_006,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_006.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_007,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_007.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_008,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_008.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_009,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_009.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_010,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_010.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_011,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_011.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_012,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_012.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_013,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_013.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_014,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_014.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_015,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_015.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_016,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_016.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_017,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_017.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_018,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_018.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_019,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_019.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_020,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_020.cif,"Sequence is too short <3!
",
