FoldPair,File,recall_only_fold1,recall_only_fold2,cluster_num
1iytA_2naoF,msa_t__ShallowMsa_000.npy,0,0,000
1iytA_2naoF,msa_t__ShallowMsa_001.npy,0,0,001
1iytA_2naoF,msa_t__ShallowMsa_003.npy,0,0,003
1iytA_2naoF,msa_t__ShallowMsa_002.npy,0,0,002
1iytA_2naoF,msa_t__ShallowMsa_005.npy,0.03,0,005
1iytA_2naoF,msa_t__ShallowMsa_004.npy,0.01,0,004
5i2sA_5i2mA,msa_t__ShallowMsa_000.npy,0.01,0.03,000
5i2sA_5i2mA,msa_t__ShallowMsa_001.npy,0.01,0.02,001
5i2sA_5i2mA,msa_t__ShallowMsa_002.npy,0.02,0.03,002
2pbkB_3njqA,msa_t__ShallowMsa_000.npy,0.03,0.02,000
2pbkB_3njqA,msa_t__ShallowMsa_001.npy,0.03,0.02,001
2pbkB_3njqA,msa_t__ShallowMsa_003.npy,0.03,0.02,003
2pbkB_3njqA,msa_t__ShallowMsa_002.npy,0.05,0.06,002
2pbkB_3njqA,msa_t__ShallowMsa_006.npy,0.04,0.03,006
2pbkB_3njqA,msa_t__ShallowMsa_007.npy,0.04,0.02,007
2pbkB_3njqA,msa_t__ShallowMsa_005.npy,0.02,0.02,005
2pbkB_3njqA,msa_t__ShallowMsa_004.npy,0.04,0.04,004
2pbkB_3njqA,msa_t__ShallowMsa_008.npy,0.07,0.04,008
1qlnA_1h38D,msa_t__ShallowMsa_000.npy,0.17,0.06,000
1qlnA_1h38D,msa_t__ShallowMsa_014.npy,0.13,0.05,014
1qlnA_1h38D,msa_t__ShallowMsa_015.npy,0.2,0.06,015
1qlnA_1h38D,msa_t__ShallowMsa_001.npy,0.17,0.06,001
1qlnA_1h38D,msa_t__ShallowMsa_017.npy,0.06,0.03,017
1qlnA_1h38D,msa_t__ShallowMsa_003.npy,0.2,0.05,003
1qlnA_1h38D,msa_t__ShallowMsa_002.npy,0.18,0.07,002
1qlnA_1h38D,msa_t__ShallowMsa_016.npy,0.07,0.03,016
1qlnA_1h38D,msa_t__ShallowMsa_012.npy,0.17,0.06,012
1qlnA_1h38D,msa_t__ShallowMsa_006.npy,0.2,0.06,006
1qlnA_1h38D,msa_t__ShallowMsa_007.npy,0.19,0.04,007
1qlnA_1h38D,msa_t__ShallowMsa_013.npy,0.05,0.04,013
1qlnA_1h38D,msa_t__ShallowMsa_005.npy,0.24,0.08,005
1qlnA_1h38D,msa_t__ShallowMsa_011.npy,0.13,0.04,011
1qlnA_1h38D,msa_t__ShallowMsa_010.npy,0.23,0.07,010
1qlnA_1h38D,msa_t__ShallowMsa_004.npy,0.15,0.04,004
1qlnA_1h38D,msa_t__ShallowMsa_009.npy,0.25,0.08,009
1qlnA_1h38D,msa_t__ShallowMsa_008.npy,0.03,0.02,008
1qlnA_1h38D,msa_t__ShallowMsa_018.npy,0.19,0.05,018
1qlnA_1h38D,msa_t__ShallowMsa_019.npy,0.13,0.05,019
1mnmD_1mnmC,msa_t__ShallowMsa_000.npy,0.18,0.07,000
1mnmD_1mnmC,msa_t__ShallowMsa_014.npy,0.11,0,014
