mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_000,4aalA,0.8298414714154114,0.9466449731996667,-0.11680350178425525,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_000.pdb,,-0.0005612829095746896
ESMFold2_newmethod,ESMFold2,ShallowMsa_001,4aalA,0.8353108252452257,0.9722436430396306,-0.13693281779440492,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_001.pdb,,-0.020690598919724357
ESMFold2_newmethod,ESMFold2,ShallowMsa_002,4aalA,0.8443045931290166,0.975366241457102,-0.13106164832808542,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_002.pdb,,-0.014819429453404864
ESMFold2_newmethod,ESMFold2,ShallowMsa_003,4aalA,0.8714510612952072,0.9836636939829828,-0.1122126326877756,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_003.pdb,,0.004029586186904965
ESMFold2_newmethod,ESMFold2,ShallowMsa_004,4aalA,0.849153182623453,0.9793598362540075,-0.1302066536305545,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_004.pdb,,-0.013964434755873945
ESMFold2_newmethod,ESMFold2,ShallowMsa_005,4aalA,0.8354833828356009,0.9464896335927783,-0.1110062507571774,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_005.pdb,,0.005235968117503154
ESMFold2_newmethod,ESMFold2,ShallowMsa_006,4aalA,0.8267489587492584,0.9395767814743934,-0.11282782272513503,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_006.pdb,,0.003414396149545529
ESMFold2_newmethod,ESMFold2,ShallowMsa_007,4aalA,0.8394343232338838,0.9552536560023706,-0.11581933276848677,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_007.pdb,,0.0004228861061937872
ESMFold2_newmethod,ESMFold2,ShallowMsa_008,4aalA,0.8113146833510502,0.9479527737335773,-0.13663809038252717,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_008.pdb,,-0.020395871507846608
ESMFold2_newmethod,ESMFold2,ShallowMsa_009,4aalA,0.8541211407450989,0.9790689184965867,-0.1249477777514878,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_009.pdb,,-0.00870555887680724
ESMFold2_newmethod,ESMFold2,ShallowMsa_010,4aalA,0.8695097479184545,0.9577930223323771,-0.08828327441392259,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_010.pdb,,0.027958944460757973
ESMFold2_newmethod,ESMFold2,ShallowMsa_011,4aalA,0.8671801869590944,0.982619365230854,-0.11543917827175965,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_011.pdb,,0.0008030406029209125
ESMFold2_newmethod,ESMFold2,ShallowMsa_012,4aalA,0.8377298192196537,0.9515287940106383,-0.11379897479098455,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_012.pdb,,0.0024432440836960057
ESMFold2_newmethod,ESMFold2,ShallowMsa_013,4aalA,0.8258902489481597,0.9318895667484312,-0.1059993178002715,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_013.pdb,,0.010242901074409061
ESMFold2_newmethod,ESMFold2,ShallowMsa_014,4aalA,0.8263694404441103,0.9421384753340339,-0.11576903488992363,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_014.pdb,,0.0004731839847569308
ESMFold2_newmethod,ESMFold2,ShallowMsa_015,4aalA,0.8402680500407077,0.9523940707587465,-0.11212602071803879,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_015.pdb,,0.0041161981566417705
ESMFold2_newmethod,ESMFold2,ShallowMsa_016,4aalA,0.7868605682889076,0.9082564931485616,-0.121395924859654,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_016.pdb,,-0.0051537059849734446
ESMFold2_newmethod,ESMFold2,ShallowMsa_017,4aalA,0.7989274492295353,0.9256940867175837,-0.1267666374880484,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_017.pdb,,-0.010524418613367836
ESMFold2_newmethod,ESMFold2,ShallowMsa_018,4aalA,0.8573692303854935,0.9837970313372945,-0.12642780095180095,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_018.pdb,,-0.010185582077120392
ESMFold2_newmethod,ESMFold2,ShallowMsa_019,4aalA,0.7998104924103516,0.9338484537492104,-0.1340379613388588,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_019.pdb,,-0.017795742464178255
ESMFold2_newmethod,ESMFold2,ShallowMsa_020,4aalA,0.860640001621204,0.9771261733321522,-0.11648617171094822,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_020.pdb,,-0.00024395283626765796
ESMFold2_newmethod,ESMFold2,ShallowMsa_021,4aalA,0.8606077875200773,0.9726329747479564,-0.11202518722787913,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_021.pdb,,0.004217031646801428
ESMFold2_newmethod,ESMFold2,ShallowMsa_022,4aalA,0.8319708156726131,0.9438389780776205,-0.11186816240500741,Pipeline/FoldPairs/4aalA_4aanA/output_esmfold2/ShallowMsa_022.pdb,,0.004374056469673149
