mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_000,2qqjA,0.9604599577805256,0.9547468814513942,0.005713076329131428,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_000.pdb,,0.0017390060257406192
ESMFold2_newmethod,ESMFold2,ShallowMsa_001,2qqjA,0.9544363917578575,0.9211338961607245,0.03330249559713305,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_001.pdb,,0.029328425293742244
ESMFold2_newmethod,ESMFold2,ShallowMsa_002,2qqjA,0.6284375862240963,0.824918783091431,-0.19648119686733467,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_002.pdb,,-0.20045526717072548
ESMFold2_newmethod,ESMFold2,ShallowMsa_003,2qqjA,0.9592596664253656,0.9529115415198834,0.0063481249054822,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_003.pdb,,0.002374054602091391
ESMFold2_newmethod,ESMFold2,ShallowMsa_004,2qqjA,0.9720865300980973,0.9681211195805396,0.0039654105175577214,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_004.pdb,,-8.659785833087241e-06
ESMFold2_newmethod,ESMFold2,ShallowMsa_005,2qqjA,0.958941991613421,0.9592520648458575,-0.00031007323243648077,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_005.pdb,,-0.0042841435358272895
ESMFold2_newmethod,ESMFold2,ShallowMsa_006,2qqjA,0.8972127682151576,0.8459954604816036,0.05121730773355404,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_006.pdb,,0.04724323743016323
ESMFold2_newmethod,ESMFold2,ShallowMsa_007,2qqjA,0.943302283013813,0.9441149450429699,-0.0008126620291568631,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_007.pdb,,-0.004786732332547672
ESMFold2_newmethod,ESMFold2,ShallowMsa_008,2qqjA,0.9709197981509404,0.9672955213965939,0.0036242767543465115,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_008.pdb,,-0.00034979354904429716
ESMFold2_newmethod,ESMFold2,ShallowMsa_009,2qqjA,0.9528804508492256,0.9491434588317432,0.0037369920174823434,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_009.pdb,,-0.00023707828590846525
ESMFold2_newmethod,ESMFold2,ShallowMsa_010,2qqjA,0.9524510573740896,0.9510562434414389,0.0013948139326507292,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_010.pdb,,-0.0025792563707400795
ESMFold2_newmethod,ESMFold2,ShallowMsa_011,2qqjA,0.9645537993922753,0.9600051554431906,0.0045486439490846076,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_011.pdb,,0.0005745736456937989
ESMFold2_newmethod,ESMFold2,ShallowMsa_012,2qqjA,0.959069225564725,0.9589460479334289,0.00012317763129610082,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_012.pdb,,-0.003850892672094708
ESMFold2_newmethod,ESMFold2,ShallowMsa_013,2qqjA,0.9193647733269343,0.9170578741146728,0.0023068992122615706,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_013.pdb,,-0.0016671710911292381
ESMFold2_newmethod,ESMFold2,ShallowMsa_014,2qqjA,0.8608393772029377,0.8559524799303286,0.004886897272609048,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_014.pdb,,0.0009128269692182389
ESMFold2_newmethod,ESMFold2,ShallowMsa_015,2qqjA,0.9537227343155895,0.9511005684784815,0.002622165837108059,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_015.pdb,,-0.0013519044662827495
ESMFold2_newmethod,ESMFold2,ShallowMsa_016,2qqjA,0.5761959346359792,0.8041936811625038,-0.2279977465265246,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_016.pdb,,-0.2319718168299154
ESMFold2_newmethod,ESMFold2,ShallowMsa_017,2qqjA,0.860980843812749,0.8426084583645271,0.01837238544822184,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_017.pdb,,0.014398315144831031
ESMFold2_newmethod,ESMFold2,ShallowMsa_018,2qqjA,0.5331698212303501,0.7324040861045418,-0.1992342648741917,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_018.pdb,,-0.20320833517758252
ESMFold2_newmethod,ESMFold2,ShallowMsa_019,2qqjA,0.9739825518355447,0.9681950191199948,0.005787532715549881,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_019.pdb,,0.0018134624121590726
ESMFold2_newmethod,ESMFold2,ShallowMsa_020,2qqjA,0.9686364148788533,0.9650321298833262,0.0036042849955271183,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_020.pdb,,-0.00036978530786369035
ESMFold2_newmethod,ESMFold2,ShallowMsa_021,2qqjA,0.4940801594888697,0.8159021637464596,-0.32182200425758994,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_021.pdb,,-0.32579607456098075
ESMFold2_newmethod,ESMFold2,ShallowMsa_022,2qqjA,0.8662388923887727,0.8306777055410023,0.03556118684777043,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_022.pdb,,0.03158711654437962
ESMFold2_newmethod,ESMFold2,ShallowMsa_023,2qqjA,0.9290542136555566,0.8925345707502618,0.03651964290529486,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_023.pdb,,0.03254557260190405
ESMFold2_newmethod,ESMFold2,ShallowMsa_024,2qqjA,0.9700424535008922,0.8612152241309241,0.10882722936996814,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_024.pdb,,0.10485315906657733
ESMFold2_newmethod,ESMFold2,ShallowMsa_025,2qqjA,0.9045764039101548,0.9042225275062418,0.00035387640391304487,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_025.pdb,,-0.003620193899477764
ESMFold2_newmethod,ESMFold2,ShallowMsa_026,2qqjA,0.9353609519829053,0.9230585275959311,0.012302424386974153,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_026.pdb,,0.008328354083583345
ESMFold2_newmethod,ESMFold2,ShallowMsa_027,2qqjA,0.9743977509931896,0.9661732688110103,0.008224482182179305,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_027.pdb,,0.004250411878788496
ESMFold2_newmethod,ESMFold2,ShallowMsa_028,2qqjA,0.9095001134825327,0.8834319802690814,0.02606813321345125,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_028.pdb,,0.02209406291006044
ESMFold2_newmethod,ESMFold2,ShallowMsa_029,2qqjA,0.9585234930394275,0.9524721413184425,0.006051351720985032,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_029.pdb,,0.0020772814175942234
ESMFold2_newmethod,ESMFold2,ShallowMsa_030,2qqjA,0.903536427599143,0.8981499440927769,0.005386483506366058,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_030.pdb,,0.001412413202975249
ESMFold2_newmethod,ESMFold2,ShallowMsa_031,2qqjA,0.5529258650582344,0.8159003452010422,-0.2629744801428078,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_031.pdb,,-0.2669485504461986
ESMFold2_newmethod,ESMFold2,ShallowMsa_032,2qqjA,0.5335699279181785,0.8232672649482954,-0.2896973370301169,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_032.pdb,,-0.2936714073335077
ESMFold2_newmethod,ESMFold2,ShallowMsa_033,2qqjA,0.9597801626185035,0.9525632271891836,0.007216935429319893,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_033.pdb,,0.003242865125929084
ESMFold2_newmethod,ESMFold2,ShallowMsa_034,2qqjA,0.8428909414064583,0.8479824411472564,-0.005091499740798144,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_034.pdb,,-0.009065570044188953
ESMFold2_newmethod,ESMFold2,ShallowMsa_035,2qqjA,0.9703519831114951,0.9649815829397507,0.005370400171744394,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_035.pdb,,0.0013963298683535852
ESMFold2_newmethod,ESMFold2,ShallowMsa_036,2qqjA,0.9086650101320973,0.8600277832149261,0.048637226917171206,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_036.pdb,,0.0446631566137804
ESMFold2_newmethod,ESMFold2,ShallowMsa_037,2qqjA,0.9461575858001975,0.9322589556265056,0.013898630173691862,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_037.pdb,,0.009924559870301053
ESMFold2_newmethod,ESMFold2,ShallowMsa_038,2qqjA,0.953648373597672,0.9468687975836936,0.006779576013978383,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_038.pdb,,0.0028055057105875747
ESMFold2_newmethod,ESMFold2,ShallowMsa_039,2qqjA,0.9484374450754647,0.9411876615092521,0.007249783566212531,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_039.pdb,,0.0032757132628217223
ESMFold2_newmethod,ESMFold2,ShallowMsa_040,2qqjA,0.9496222766390955,0.9487738852368889,0.0008483914022066052,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_040.pdb,,-0.0031256789011842034
ESMFold2_newmethod,ESMFold2,ShallowMsa_041,2qqjA,0.9528966292097909,0.9473011232366216,0.005595505973169268,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_041.pdb,,0.0016214356697784593
ESMFold2_newmethod,ESMFold2,ShallowMsa_042,2qqjA,0.9487781606952022,0.9476814316507469,0.0010967290444552358,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_042.pdb,,-0.002877341258935573
ESMFold2_newmethod,ESMFold2,ShallowMsa_043,2qqjA,0.966397519693627,0.8648115517205778,0.1015859679730492,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_043.pdb,,0.09761189766965839
ESMFold2_newmethod,ESMFold2,ShallowMsa_044,2qqjA,0.9612986017130798,0.956191338530132,0.005107263182947741,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_044.pdb,,0.0011331928795569324
ESMFold2_newmethod,ESMFold2,ShallowMsa_045,2qqjA,0.9116236130663339,0.9108374520366006,0.0007861610297332788,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_045.pdb,,-0.00318790927365753
ESMFold2_newmethod,ESMFold2,ShallowMsa_046,2qqjA,0.8606606518856849,0.8535906545354395,0.007069997350245383,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_046.pdb,,0.003095927046854574
ESMFold2_newmethod,ESMFold2,ShallowMsa_047,2qqjA,0.8782093161756986,0.9070860538371077,-0.02887673766140908,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_047.pdb,,-0.03285080796479989
ESMFold2_newmethod,ESMFold2,ShallowMsa_048,2qqjA,0.8880341753690113,0.8377829719912563,0.050251203377755016,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_048.pdb,,0.04627713307436421
ESMFold2_newmethod,ESMFold2,ShallowMsa_049,2qqjA,0.4973521520547432,0.81462271903207,-0.31727056697732675,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_049.pdb,,-0.32124463728071756
ESMFold2_newmethod,ESMFold2,ShallowMsa_050,2qqjA,0.9393803173970506,0.925101766008444,0.014278551388606675,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_050.pdb,,0.010304481085215866
ESMFold2_newmethod,ESMFold2,ShallowMsa_051,2qqjA,0.9598827910165296,0.9594656562128976,0.0004171348036320355,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_051.pdb,,-0.003556935499758773
ESMFold2_newmethod,ESMFold2,ShallowMsa_052,2qqjA,0.9554363519130593,0.9389869006028003,0.01644945131025899,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_052.pdb,,0.01247538100686818
ESMFold2_newmethod,ESMFold2,ShallowMsa_053,2qqjA,0.8930596371647124,0.8828818693060984,0.010177767858614017,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_053.pdb,,0.006203697555223209
ESMFold2_newmethod,ESMFold2,ShallowMsa_054,2qqjA,0.9522639828248732,0.9467171006824584,0.005546882142414833,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_054.pdb,,0.0015728118390240242
ESMFold2_newmethod,ESMFold2,ShallowMsa_055,2qqjA,0.9250591129499354,0.927055400671817,-0.001996287721881651,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_055.pdb,,-0.00597035802527246
ESMFold2_newmethod,ESMFold2,ShallowMsa_056,2qqjA,0.9521833025539873,0.9339188245813121,0.018264477972675164,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_056.pdb,,0.014290407669284355
ESMFold2_newmethod,ESMFold2,ShallowMsa_057,2qqjA,0.9624759406689289,0.9576541010747674,0.004821839594161492,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_057.pdb,,0.0008477692907706835
ESMFold2_newmethod,ESMFold2,ShallowMsa_058,2qqjA,0.9246623134927238,0.9236763026582093,0.0009860108345144392,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_058.pdb,,-0.0029880594688763695
ESMFold2_newmethod,ESMFold2,ShallowMsa_059,2qqjA,0.8919854627197509,0.8987222712552486,-0.00673680853549774,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_059.pdb,,-0.010710878838888549
ESMFold2_newmethod,ESMFold2,ShallowMsa_060,2qqjA,0.9104802766321514,0.9103566007372765,0.00012367589487483066,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_060.pdb,,-0.003850394408515978
ESMFold2_newmethod,ESMFold2,ShallowMsa_061,2qqjA,0.9285877128177557,0.926396527875229,0.0021911849425266805,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_061.pdb,,-0.0017828853608641282
ESMFold2_newmethod,ESMFold2,ShallowMsa_062,2qqjA,0.9109913600061998,0.9067900072150217,0.00420135279117817,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_062.pdb,,0.00022728248778736138
ESMFold2_newmethod,ESMFold2,ShallowMsa_063,2qqjA,0.9146548793652308,0.9131806541453139,0.0014742252199169137,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_063.pdb,,-0.002499845083473895
ESMFold2_newmethod,ESMFold2,ShallowMsa_064,2qqjA,0.8988180299886617,0.8762556207921186,0.022562409196543065,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_064.pdb,,0.018588338893152256
ESMFold2_newmethod,ESMFold2,ShallowMsa_065,2qqjA,0.9177929026331518,0.8838585708156254,0.033934331817526475,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_065.pdb,,0.029960261514135667
ESMFold2_newmethod,ESMFold2,ShallowMsa_066,2qqjA,0.6872397339598185,0.8407002629583727,-0.15346052899855422,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_066.pdb,,-0.15743459930194503
ESMFold2_newmethod,ESMFold2,ShallowMsa_067,2qqjA,0.9206445783260895,0.9168330038697045,0.003811574456385025,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_067.pdb,,-0.00016249584700578357
ESMFold2_newmethod,ESMFold2,ShallowMsa_068,2qqjA,0.7182297577185652,0.8395208231054146,-0.12129106538684942,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_068.pdb,,-0.12526513569024023
ESMFold2_newmethod,ESMFold2,ShallowMsa_069,2qqjA,0.9610439078467345,0.9551944631991487,0.005849444647585855,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_069.pdb,,0.0018753743441950466
ESMFold2_newmethod,ESMFold2,ShallowMsa_070,2qqjA,0.9007159393518168,0.8702578589492186,0.03045808040259823,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_070.pdb,,0.026484010099207422
ESMFold2_newmethod,ESMFold2,ShallowMsa_071,2qqjA,0.9464273233640522,0.9406294465564337,0.005797876807618563,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_071.pdb,,0.001823806504227754
ESMFold2_newmethod,ESMFold2,ShallowMsa_072,2qqjA,0.775910172036969,0.7727263154965548,0.0031838565404141983,Pipeline/FoldPairs/2qqjA_4qdsA/output_esmfold2/ShallowMsa_072.pdb,,-0.0007902137629766104
