pair_id,pdbid1,chain1_requested,pdbid2,chain2_requested,chain1_used,chain2_used,chain_source,trigger_class,evidence,ligands_pdb1,ligands_pdb2,n_unique_chains_pdb1,n_unique_chains_pdb2,seq_identity,seq_identity_bestmatch,chain1_best_match,chain2_best_match,length_diff,notes
1dzlA_5keqF,1dzl,A,5keq,F,A,F,labeled,oligomerization,"chain instances: pdb1=1, pdb2=6 (distinct seqs n1=1, n2=1; identity=0.983)",,,1,1,0.983,0.983,A,A,22,VIRUS | VIRUS LIKE PARTICLE
1eboE_5fhcJ,1ebo,E,5fhc,J,E,J,labeled,mutation,labeled chains E/J: identity=0.469 over 98 residues (length_diff=33),,,1,6,0.469,0.469,A,J,33,VIRAL PROTEIN | VIRAL PROTEIN/IMMUNE SYSTEM
1fzpD_2frhA,1fzp,D,2frh,A,D,A,labeled,equilibrium_or_unknown,"identical sequence over 123 residues (identity=1.000), same ligands, same chain count (n1=2, n2=2); paper inspection required",,,1,1,1.000,1.000,D,A,4,TRANSCRIPTION/DNA | TRANSCRIPTION
1iytA_2naoF,1iyt,A,2nao,F,A,F,labeled,oligomerization,"chain instances: pdb1=1, pdb2=6 (distinct seqs n1=1, n2=1; identity=1.000)",,,1,1,1.000,1.000,A,A,0,PROTEIN BINDING | PROTEIN FIBRIL
1jfkA_2nxqB,1jfk,A,2nxq,B,A,B,labeled,oligomerization,"chain instances: pdb1=1, pdb2=2 (distinct seqs n1=1, n2=1; identity=1.000)",,,1,1,1.000,1.000,A,A,0,METAL BINDING PROTEIN | METAL BINDING PROTEIN
1rk4B_1k0nA,1rk4,B,1k0n,A,B,A,labeled,ligand,ligands_pdb1=[]; ligands_pdb2=['GSH']; diff=['GSH'] (identity=0.983),,GSH,1,1,0.983,0.983,A,A,2,ION TRANSPORT/MEMBRANE PROTEIN | METAL TRANSPORT
1kctA_3t1pA,1kct,A,3t1p,A,A,A,labeled,equilibrium_or_unknown,"identical sequence over 371 residues (identity=0.962), same ligands, same chain count (n1=1, n2=1); paper inspection required",,,1,1,0.962,0.962,A,A,23,SERINE PROTEASE INHIBITOR | HYDROLASE INHIBITOR
1miqB_1qs8B,1miq,B,1qs8,B,B,B,labeled,ligand,"ligands_pdb1=[]; ligands_pdb2=['IVA', 'STA']; diff=['IVA', 'STA'] (identity=0.994)",,IVA|STA,1,1,0.994,0.994,A,A,46,HYDROLASE | HYDROLASE/HYDROLASE INHIBITOR
1mnmD_1mnmC,1mnm,D,1mnm,C,D,C,labeled,equilibrium_or_unknown,"identical sequence over 87 residues (identity=1.000), same ligands, same chain count (n1=6, n2=6); paper inspection required",,,3,3,1.000,1.000,E,E,0,TRANSCRIPTION/DNA | TRANSCRIPTION/DNA
1nocA_1qomB,1noc,A,1qom,B,A,B,labeled,protein_binding,pdb1 distinct_chains=2; pdb2 distinct_chains=1 (labeled identity=1.000),HEM|IMD,H4B|HEM,2,1,1.000,1.000,A,A,52,COMPLEX (OXIDOREDUCTASE/TRANSFERASE) | OXIDOREDUCTASE
