protein,pair,mode,n,mean,std,vmin,vmax,frac_abs_gt_0.10
KaiB,5jytA_2qkeE,AF2,22,-0.024843955582543684,0.08326030085176286,-0.2525811584134528,0.06885252768531175,0.18181818181818182
KaiB,5jytA_2qkeE,AF2_treek100_full,99,-0.015466781908049416,0.06072021963818526,-0.27572291679826644,0.06371690992664054,0.10101010101010101
KaiB,5jytA_2qkeE,AF2_treek100_top10,99,-0.017694194663853545,0.19201091834764486,-0.3936489570605503,0.3050159770094279,0.6767676767676768
KaiB,5jytA_2qkeE,AF3,22,-0.015108019623264813,0.057041800948600715,-0.15895998092472574,0.05897819584976555,0.13636363636363635
KaiB,5jytA_2qkeE,AF3_treek100_full,99,-0.015935492457668277,0.05803630018635836,-0.3576057491857761,0.0632791077469641,0.09090909090909091
KaiB,5jytA_2qkeE,AF3_treek100_top10,99,-0.027633177241109447,0.2356267474215043,-0.5037621646360845,0.2766150422483455,0.7474747474747475
RelB,1zk9A_3jv6A,AF2,20,0.013462754930437072,0.03466791574519524,-0.01905863863968765,0.10048123605931636,0.05
RelB,1zk9A_3jv6A,AF2_treek100_top10,46,0.00772731835974996,0.12000307903332234,-0.1842986981763082,0.2813830223499979,0.41304347826086957
RelB,1zk9A_3jv6A,AF3,20,0.007954534922273075,0.0235374026133716,-0.01766109562017255,0.06232284680761145,0.0
RelB,1zk9A_3jv6A,AF3_treek100_top10,46,0.015852314971673914,0.09895929604331272,-0.11731775678216991,0.3133878204020548,0.2826086956521739
RfaH,6c6sD_2ougC,AF2,19,0.006925682445892782,0.07798115879815233,-0.13950937015122156,0.125767173097747,0.21052631578947367
RfaH,6c6sD_2ougC,AF2_treek100_top10,100,0.0016563975329756684,0.05771183060211827,-0.2094229936436455,0.14549975743178464,0.11
RfaH,6c6sD_2ougC,AF3,19,-0.013105585151279181,0.09195145612307234,-0.18977464724235435,0.12372083188524349,0.2631578947368421
RfaH,6c6sD_2ougC,AF3_treek100_top10,100,-0.007306568699866495,0.07719241355336748,-0.2511513319892625,0.1305371464130077,0.2
SOD1,2namA_1uxmK,AF2,21,0.0248239083135249,0.10597305900612103,-0.044381971870674,0.46208691760666837,0.047619047619047616
SOD1,2namA_1uxmK,AF2_treek100_top10,100,-0.0010520169126563624,0.13435254880199568,-0.31372095301172387,0.3557059241472231,0.36
SOD1,2namA_1uxmK,AF3,21,0.03921582384670411,0.11793883486181791,-0.028716980377812902,0.5157443353845115,0.09523809523809523
SOD1,2namA_1uxmK,AF3_treek100_top10,100,0.04201560390189513,0.16805813911033643,-0.19747401107582765,0.5714410255243159,0.54
Selecase,4qhhA_4qhfA,AF2,10,-0.04258247387849341,0.15110677742522352,-0.3786683076211773,0.08541574951110065,0.2
Selecase,4qhhA_4qhfA,AF2_treek100_top10,65,0.052681573590684865,0.11228017031034691,-0.08574264017197285,0.2575105100132761,0.4
Selecase,4qhhA_4qhfA,AF3,10,-0.04155469458516444,0.15029892713284743,-0.37692557053075826,0.07798011613170294,0.2
Selecase,4qhhA_4qhfA,AF3_treek100_top10,65,0.08484449893646415,0.11961002656790286,-0.0210465210206368,0.3097235729283223,0.3384615384615385
XCL1,2n54B_2hdmA,AF2,21,0.02328202042665592,0.06134878186119206,-0.0561083120324107,0.17384863205195455,0.09523809523809523
XCL1,2n54B_2hdmA,AF2_treek100_top10,99,0.03895245698611492,0.13382869720225432,-0.1348817625730848,0.4753597207923595,0.36363636363636365
XCL1,2n54B_2hdmA,AF3,21,0.011801352642041225,0.09062770173217093,-0.0974574879277804,0.2534081421682556,0.09523809523809523
XCL1,2n54B_2hdmA,AF3_treek100_top10,99,0.07981977510744123,0.1844391420861633,-0.0958313869178959,0.6432981468987848,0.29292929292929293
