pair_id,cluster,n_seqs,mean_pid_to_query,median_pid_to_query
1dzlA_5keqF,ShallowMsa_000,483,0.4963810796681602,0.4911111111111111
1dzlA_5keqF,ShallowMsa_001,278,0.5047724823509169,0.5022026431718062
1dzlA_5keqF,ShallowMsa_002,227,0.5393560619938017,0.5290178571428571
1dzlA_5keqF,ShallowMsa_004,217,0.5902776391583786,0.5555555555555556
1dzlA_5keqF,ShallowMsa_005,207,0.5330159302994727,0.5330396475770925
1eboE_5fhcJ,ShallowMsa_000,825,0.3416218870702409,0.31645569620253167
1eboE_5fhcJ,ShallowMsa_001,201,0.3161884881640975,0.3148148148148148
1fzpD_2frhA,ShallowMsa_000,338,0.26014155135328226,0.2564102564102564
1fzpD_2frhA,ShallowMsa_001,320,0.29282391149764264,0.2857142857142857
1fzpD_2frhA,ShallowMsa_002,279,0.49373037189872165,0.3763440860215054
1fzpD_2frhA,ShallowMsa_003,215,0.3187825696601511,0.28205128205128205
1fzpD_2frhA,ShallowMsa_004,211,0.25113859185555043,0.25
1fzpD_2frhA,ShallowMsa_005,203,0.257892888450719,0.2564102564102564
1fzpD_2frhA,ShallowMsa_006,202,0.25510789077358625,0.25
1fzpD_2frhA,ShallowMsa_007,201,0.25503087532356217,0.2558139534883721
1iytA_2naoF,ShallowMsa_000,149,0.8577270824088281,0.8571428571428571
1jfkA_2nxqB,ShallowMsa_000,2954,0.2902629888003211,0.2857142857142857
1jfkA_2nxqB,ShallowMsa_001,1518,0.2852887858084373,0.2823504063038661
1jfkA_2nxqB,ShallowMsa_002,1133,0.29738508277333553,0.29310344827586204
1jfkA_2nxqB,ShallowMsa_003,1069,0.3005024030152817,0.29457364341085274
1jfkA_2nxqB,ShallowMsa_004,859,0.26615399993595923,0.26666666666666666
1jfkA_2nxqB,ShallowMsa_005,698,0.30157586812913756,0.29508196721311475
1jfkA_2nxqB,ShallowMsa_006,680,0.2836438768281356,0.2786885245901639
1jfkA_2nxqB,ShallowMsa_007,632,0.27699591595404655,0.27419354838709675
1jfkA_2nxqB,ShallowMsa_008,628,0.2754746587632725,0.2734375
1jfkA_2nxqB,ShallowMsa_009,575,0.28740829464702233,0.2807017543859649
1jfkA_2nxqB,ShallowMsa_010,562,0.27745631940233484,0.27586206896551724
1jfkA_2nxqB,ShallowMsa_011,557,0.280782433907383,0.28
1jfkA_2nxqB,ShallowMsa_012,548,0.2779514439079268,0.27346041055718473
1jfkA_2nxqB,ShallowMsa_013,538,0.2830398191093297,0.2807017543859649
1jfkA_2nxqB,ShallowMsa_014,525,0.2965928725767794,0.2903225806451613
1jfkA_2nxqB,ShallowMsa_015,519,0.2805796181511932,0.2786885245901639
1jfkA_2nxqB,ShallowMsa_016,480,0.3003421780568939,0.29508196721311475
1jfkA_2nxqB,ShallowMsa_017,478,0.2794300390840394,0.27586206896551724
1jfkA_2nxqB,ShallowMsa_018,433,0.2751852354211818,0.273972602739726
1jfkA_2nxqB,ShallowMsa_019,414,0.2845163797035671,0.28125
1jfkA_2nxqB,ShallowMsa_020,337,0.28115308731720084,0.27586206896551724
1kctA_3t1pA,ShallowMsa_000,4944,0.29193482141998534,0.2880886426592798
1kctA_3t1pA,ShallowMsa_001,1629,0.2933245189324095,0.29041095890410956
1kctA_3t1pA,ShallowMsa_002,1102,0.295215422438718,0.29526462395543174
1kctA_3t1pA,ShallowMsa_003,1033,0.2810042160055146,0.28019323671497587
1kctA_3t1pA,ShallowMsa_004,1003,0.45873284602065967,0.4644808743169399
1kctA_3t1pA,ShallowMsa_005,976,0.4405985483154698,0.44594594594594594
1kctA_3t1pA,ShallowMsa_006,922,0.3086989264542629,0.30876881502852443
1kctA_3t1pA,ShallowMsa_007,866,0.42953272827747374,0.43902439024390244
1kctA_3t1pA,ShallowMsa_008,856,0.5446812103706409,0.5
1kctA_3t1pA,ShallowMsa_009,597,0.2940829053111189,0.29285714285714287
1kctA_3t1pA,ShallowMsa_010,596,0.29166689713924887,0.28992753623188405
1kctA_3t1pA,ShallowMsa_011,588,0.2831206399592449,0.2824858757062147
1kctA_3t1pA,ShallowMsa_012,566,0.30730123139400045,0.3061511121302454
1kctA_3t1pA,ShallowMsa_013,553,0.28952859129509523,0.2869318181818182
1kctA_3t1pA,ShallowMsa_014,469,0.38820772282956884,0.41778975741239893
1kctA_3t1pA,ShallowMsa_015,454,0.2923068035400246,0.29085872576177285
1kctA_3t1pA,ShallowMsa_016,359,0.2822573389072915,0.2822822822822823
1kctA_3t1pA,ShallowMsa_017,310,0.2940573944736532,0.29271109058286404
1kctA_3t1pA,ShallowMsa_018,306,0.28764943147344035,0.28895184135977336
