pair_id,cluster,method,TM1_max,TM2_max,TM1_mean,TM2_mean,TMdiff_max,TMdiff_mean,n_models,n_toward_f1,n_toward_f2,vote_frac_f1,pref,t1_recall,t2_recall,metric_used
1dzlA_5keqF,DeepMsa,AF2,0.926,0.9291,0.9241,0.9271,-0.0031,-0.003,3,0,3,0.0,F2,,,
1dzlA_5keqF,ShallowMsa_000,AF2,0.444,0.4564,0.3769,0.3829,-0.0124,-0.006,5,0,5,0.0,F2,,,
1dzlA_5keqF,ShallowMsa_001,AF2,0.3768,0.3885,0.2896,0.2942,-0.0117,-0.0046,5,1,4,0.2,F2,,,
1dzlA_5keqF,ShallowMsa_002,AF2,0.522,0.5048,0.4263,0.4152,0.0172,0.0111,5,4,1,0.8,F1,,,
1dzlA_5keqF,ShallowMsa_003,AF2,0.4721,0.4814,0.4068,0.411,-0.0093,-0.0043,5,1,4,0.2,F2,,,
1dzlA_5keqF,ShallowMsa_004,AF2,0.5613,0.5447,0.5004,0.4904,0.0166,0.01,5,5,0,1.0,F1,,,
1dzlA_5keqF,ShallowMsa_005,AF2,0.4765,0.4638,0.4271,0.4176,0.0127,0.0095,5,5,0,1.0,F1,,,
1dzlA_5keqF,ShallowMsa_006,AF2,0.3514,0.3395,0.2703,0.2699,0.0119,0.0004,5,3,2,0.6,F1,,,
1dzlA_5keqF,ShallowMsa_007,AF2,0.4136,0.4055,0.3134,0.3077,0.008,0.0057,5,4,1,0.8,F1,,,
1dzlA_5keqF,ShallowMsa_008,AF2,0.4357,0.4116,0.3127,0.3022,0.0241,0.0104,5,5,0,1.0,F1,,,
1dzlA_5keqF,ShallowMsa_009,AF2,0.2309,0.2339,0.2029,0.1994,-0.0031,0.0035,5,3,2,0.6,F2,,,
1dzlA_5keqF,ShallowMsa_010,AF2,0.2274,0.2378,0.2195,0.2132,-0.0103,0.0063,5,2,3,0.4,F2,,,
1dzlA_5keqF,ShallowMsa_011,AF2,0.3734,0.3782,0.2796,0.2787,-0.0048,0.0009,5,2,3,0.4,F2,,,
1dzlA_5keqF,ShallowMsa_012,AF2,0.5465,0.5573,0.5166,0.5307,-0.0107,-0.0141,5,0,5,0.0,F2,,,
