pair_id,n_clusters,observed_concordance,boot_mean,boot_median,boot_ci_low,boot_ci_high,boot_n_valid
2kkwA_2n0aD,3,1.0,1.0,1.0,1.0,1.0,1000
3ztjE_5hmgA,6,0.8666666666666667,0.8650444444444445,0.8666666666666667,0.6,1.0,1000
2n54B_2hdmA,21,0.6904761904761906,0.6919761904761904,0.6904761904761904,0.5793650793650793,0.8097222222222219,1000
1zk9A_3jv6A,20,0.6749999999999999,0.6736083333333334,0.6749999999999999,0.5583333333333333,0.7916666666666666,1000
4qhhA_4qhfA,10,0.6666666666666666,0.6686666666666667,0.6666666666666666,0.5,0.8333333333333335,1000
1qlnA_1h38D,11,0.6499999999999999,0.6465426106301108,0.6458333333333334,0.4696969696969697,0.8333333333333334,1000
3lqcA_1xntA,16,0.6363636363636364,0.6348045345857846,0.6363636363636364,0.47222222222222227,0.8125578703703703,1000
1nqjB_1nqdA,15,0.6222222222222221,0.6201333333333332,0.6222222222222221,0.4888888888888889,0.7666666666666666,1000
2c1vB_2c1uC,18,0.5925925925925927,0.5903611111111112,0.5833333333333334,0.47222222222222227,0.7039351851851849,1000
3r9jC_2kxoA,20,0.5916666666666667,0.5915583333333333,0.5916666666666667,0.47500000000000003,0.7166666666666667,1000
4rwqB_4rwnA,11,0.5909090909090909,0.5888636363636365,0.5909090909090909,0.43939393939393945,0.7276515151515149,1000
4o01D_4o0pA,16,0.5625,0.5616875,0.5625,0.4375,0.6979166666666666,1000
5jytA_2qkeE,22,0.5606060606060606,0.5605757575757576,0.5530303030303031,0.4770833333333333,0.6590909090909092,1000
2lepA_4hddA,20,0.5583333333333332,0.5573666666666667,0.55,0.4666666666666666,0.6666666666666666,1000
2namA_1uxmK,21,0.5555555555555555,0.553936507936508,0.5515873015873016,0.4682539682539682,0.6507936507936508,1000
3kdsG_2ce7C,19,0.5526315789473684,0.5552368421052631,0.5526315789473684,0.4561403508771929,0.6754385964912281,1000
2k42A_1ceeB,20,0.55,0.5491833333333332,0.5499999999999999,0.4583333333333333,0.6499999999999999,1000
2mwfA_2nntA,21,0.5476190476190476,0.5455634920634921,0.5476190476190476,0.4523809523809524,0.6428571428571428,1000
4pyjA_4pyiA,19,0.543859649122807,0.5461052631578946,0.543859649122807,0.4385964912280702,0.6578947368421053,1000
5bmyA_5b3zA,16,0.5416666666666666,0.5400833333333332,0.53125,0.4375,0.65625,1000
5c1vB_5c1vA,18,0.5370370370370371,0.5371018518518518,0.5370370370370371,0.4349537037037037,0.6576388888888887,1000
3lowA_3m1bF,20,0.525,0.5238250000000001,0.525,0.44166666666666665,0.6166666666666667,1000
4dxrA_4dxtA,20,0.5249999999999999,0.5235083333333334,0.525,0.43333333333333335,0.6168749999999998,1000
1rk4B_1k0nA,16,0.5208333333333334,0.5183333333333334,0.5208333333333334,0.4375,0.6145833333333334,1000
5et5A_3ifaA,20,0.5166666666666667,0.5166833333333334,0.5083333333333334,0.4333333333333333,0.625,1000
1nrjB_2gedB,18,0.5092592592592592,0.5074074074074074,0.5,0.4351851851851852,0.6018518518518517,1000
4gqcB_4gqcC,21,0.5079365079365079,0.5073174603174603,0.5079365079365079,0.4206349206349207,0.6031746031746031,1000
3hdfA_3hdeA,21,0.5,0.4990396825396825,0.5,0.41269841269841273,0.5952380952380952,1000
4h2aA_3j9cA,3,0.5,0.5,0.5,0.5,0.5,1000
3l5nB_2a73B,14,0.5,0.5005714285714286,0.5,0.39285714285714285,0.6309523809523808,1000
1fzpD_2frhA,8,0.5,0.50125,0.5,0.375,0.6666666666666666,1000
4yhdG_7ahlE,2,0.5,0.5,0.5,0.5,0.5,1000
4cmqB_4zt0C,7,0.5,0.49833333333333335,0.5,0.3803571428571429,0.6904761904761904,1000
5wrgC_1wyyB,2,0.5,0.5,0.5,0.5,0.5,1000
3v0tA_3uyiA,20,0.5,0.5004666666666667,0.5,0.4333333333333333,0.5835416666666665,1000
1nocA_1qomB,19,0.5,0.4986754385964912,0.49999999999999994,0.3947368421052631,0.6140350877192983,1000
2lv1A_6lniA,3,0.5,0.5,0.5,0.5,0.5,1000
2p3vD_2p3vA,19,0.49999999999999994,0.5001666666666666,0.49999999999999994,0.4298245614035087,0.5964912280701754,1000
4n9wA_4nc9C,17,0.49999999999999994,0.5002745098039215,0.5,0.411764705882353,0.6078431372549019,1000
2uy7D_5fluE,21,0.4920634920634921,0.4932301587301588,0.49206349206349204,0.4047619047619047,0.6031746031746031,1000
1kctA_3t1pA,20,0.4916666666666667,0.4909,0.49166666666666664,0.4166666666666667,0.5833333333333334,1000
4aalA_4aanA,19,0.4912280701754385,0.49353508771929827,0.49122807017543857,0.41228070175438597,0.5964912280701754,1000
4xwsD_4y0mJ,20,0.4833333333333334,0.4864166666666666,0.48333333333333334,0.4083333333333334,0.5750000000000001,1000
1mnmD_1mnmC,20,0.4833333333333334,0.48315,0.48333333333333334,0.4083333333333334,0.5750000000000001,1000
2jmrA_4j3oF,20,0.48333333333333334,0.48210000000000003,0.4833333333333333,0.4083333333333334,0.575,1000
4q79F_4uv2D,19,0.48245614035087714,0.48200877192982455,0.48245614035087714,0.4298245614035087,0.5528508771929823,1000
5f5rB_5f3kA,19,0.48245614035087714,0.4822543859649123,0.4736842105263158,0.40350877192982454,0.5789473684210525,1000
6c6sD_2ougC,19,0.48245614035087714,0.48470175438596486,0.48245614035087714,0.4122807017543859,0.5791666666666665,1000
2qqjA_4qdsA,18,0.4814814814814814,0.48144444444444445,0.4814814814814814,0.39814814814814814,0.5833333333333334,1000
3l9qB_4rr2D,14,0.4761904761904762,0.4989115079365079,0.5,0.2619047619047619,0.7142857142857143,1000
1jfkA_2nxqB,21,0.4761904761904761,0.4787857142857143,0.4761904761904762,0.4047619047619048,0.5634920634920635,1000
2vfxL_3gmhL,20,0.46666666666666673,0.46557500000000007,0.4583333333333334,0.39979166666666666,0.5583333333333332,1000
3meeA_4b3oB,10,0.46666666666666656,0.46775,0.4666666666666666,0.3666666666666667,0.6,1000
4ydqB_4twaA,17,0.46078431372549017,0.46012745098039226,0.4607843137254901,0.39215686274509803,0.5490196078431373,1000
1x0gD_1x0gA,21,0.46031746031746024,0.46029365079365087,0.4523809523809524,0.3888888888888889,0.5476190476190476,1000
5hk5H_4jphB,15,0.4583333333333333,0.45654408600658597,0.4523809523809524,0.3749198717948718,0.5833333333333334,1000
2h44A_1rkpA,20,0.45,0.4481416666666667,0.4416666666666667,0.39166666666666666,0.5166666666666667,1000
2z9oB_1repC,16,0.4479166666666667,0.44565625,0.4479166666666667,0.375,0.53125,1000
4zrbH_4zrbC,21,0.4444444444444444,0.44350000000000006,0.44444444444444436,0.38888888888888884,0.5158730158730158,1000
1xjuB_1xjtA,18,0.4444444444444444,0.4448796296296296,0.4444444444444444,0.3796296296296297,0.5277777777777777,1000
1qb3A_3qy2A,20,0.44166666666666665,0.4423666666666667,0.44166666666666665,0.4083333333333334,0.47500000000000003,1000
3j7vG_3j7wB,6,0.43333333333333335,0.43396111111111124,0.43333333333333335,0.3611111111111111,0.5,1000
1miqB_1qs8B,15,0.4222222222222222,0.42216666666666675,0.4222222222222222,0.37777777777777777,0.4666666666666666,1000
3g0hA_3ewsB,18,0.4166666666666667,0.4167037037037037,0.4166666666666667,0.3796296296296296,0.4537037037037037,1000
2bzyB_2lqwA,4,0.4166666666666667,0.5348333333333334,0.5,0.3333333333333333,1.0,1000
1xtgB_3j97M,20,0.39999999999999997,0.39866666666666667,0.39999999999999997,0.3333333333333333,0.5,1000
5lj3M_3tp2A,6,0.38888888888888884,0.38688888888888884,0.38888888888888884,0.3333333333333333,0.4444444444444445,1000
3m7pA_3ejhA,7,0.373015873015873,0.373713492063492,0.373015873015873,0.2976190476190476,0.4761904761904761,1000
3t5oA_4a5wB,2,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.3333333333333333,1000
1eboE_5fhcJ,2,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.3333333333333333,1000
2kb8A_6vw2A,2,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.3333333333333333,1000
5ly6B_5aoeB,4,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.3333333333333333,1000
1dzlA_5keqF,6,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.3333333333333333,1000
