pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,notes,n_clusters,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
1dzlA_5keqF,AF2,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1dzlA_5keqF,ESM,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1dzlA_5keqF,MSAT,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1dzlA_5keqF,DDG,49,1,2,46,1.0,1.0,0.6667,0.3532,,,,,49,1.0,0.742909090909091,
1dzlA_5keqF,CCMpred,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1eboE_5fhcJ,AF2,44,4,15,25,3.0,0.1443,0.6316,0.7363,0.7193,0.1095,0.5421,,44,0.5903181818181819,1.0,0.40040000000000003
1eboE_5fhcJ,ESM,44,1,1,42,1.0,1.0,0.0,1.0,,,,,44,1.0,1.0,
1eboE_5fhcJ,MSAT,44,0,0,44,,,,,,,,no_F1F2_split,44,,,
1eboE_5fhcJ,DDG,44,10,14,20,3.0,0.005,0.75,0.0547,0.7639,0.005,-0.0228,,44,0.075,0.423,0.035
1eboE_5fhcJ,CCMpred,44,0,0,44,,,,,,,,no_F1F2_split,44,,,
1fzpD_2frhA,AF2,90,2,2,86,1.0,0.3234,0.75,0.3035,0.3333,1.0,0.8251,,90,0.72765,0.742909090909091,1.0
1fzpD_2frhA,ESM,90,1,1,88,1.0,1.0,0.0,1.0,,,,,90,1.0,1.0,
1fzpD_2frhA,MSAT,90,0,1,89,,,,,,,,no_F1F2_split,90,,,
1fzpD_2frhA,DDG,90,0,0,90,,,,,,,,no_F1F2_split,90,,,
1fzpD_2frhA,CCMpred,90,0,0,90,,,,,,,,no_F1F2_split,90,,,
1iytA_2naoF,AF2,12,4,1,7,1.0,1.0,0.6,0.8159,0.5333,1.0,-0.4515,,12,1.0,1.0,1.0
1iytA_2naoF,ESM,12,1,0,11,,,,,,,,no_F1F2_split,12,,,
1iytA_2naoF,MSAT,12,0,0,12,,,,,,,,no_F1F2_split,12,,,
1iytA_2naoF,DDG,12,0,0,12,,,,,,,,no_F1F2_split,12,,,
1iytA_2naoF,CCMpred,12,0,0,12,,,,,,,,no_F1F2_split,12,,,
1nrjB_2gedB,AF2,100,3,3,94,2.0,0.5821,0.5,0.6219,0.3333,1.0,0.9892,,100,1.0,0.9994821428571429,1.0
1nrjB_2gedB,ESM,100,8,4,88,2.0,0.0945,0.6667,0.2388,0.4444,0.8607,0.8756,,100,0.5373,0.742909090909091,1.0
1nrjB_2gedB,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1nrjB_2gedB,DDG,100,4,7,89,2.0,0.1194,0.8182,0.0846,0.6364,0.1144,0.5856,,100,0.5373,0.423,0.40040000000000003
1nrjB_2gedB,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,AF2,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,DDG,100,1,1,98,1.0,1.0,0.0,1.0,,,,,100,1.0,1.0,
1qb3A_3qy2A,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,AF2,100,0,2,98,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,ESM,100,1,0,99,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,DDG,100,4,2,94,2.0,1.0,0.3333,1.0,0.4444,0.9204,1.1735,,100,1.0,1.0,1.0
1rk4B_1k0nA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1svfC_4wsgC,AF2,4,1,1,2,1.0,1.0,0.0,1.0,,,,,4,1.0,1.0,
1svfC_4wsgC,ESM,4,1,0,3,,,,,,,,no_F1F2_split,4,,,
1svfC_4wsgC,MSAT,4,0,1,3,,,,,,,,no_F1F2_split,4,,,
1svfC_4wsgC,DDG,4,2,2,0,1.0,0.3234,0.5,0.3035,0.3333,1.0,-31.25,,4,0.72765,0.742909090909091,1.0
1svfC_4wsgC,CCMpred,4,0,0,4,,,,,,,,no_F1F2_split,4,,,
1wp8C_5ejbC,AF2,15,6,4,5,2.0,0.1144,0.8,0.1294,0.6667,0.0448,-0.7668,,15,0.5373,0.5293636363636364,0.224
1wp8C_5ejbC,ESM,15,0,0,15,,,,,,,,no_F1F2_split,15,,,
1wp8C_5ejbC,MSAT,15,1,0,14,,,,,,,,no_F1F2_split,15,,,
1wp8C_5ejbC,DDG,15,7,7,1,4.0,0.3035,0.7143,0.0995,0.4524,0.4478,-0.1308,,15,0.72765,0.44775,1.0
1wp8C_5ejbC,CCMpred,15,0,0,15,,,,,,,,no_F1F2_split,15,,,
1xezA_3o44A,AF2,7,1,0,6,,,,,,,,no_F1F2_split,7,,,
1xezA_3o44A,ESM,7,0,1,6,,,,,,,,no_F1F2_split,7,,,
1xezA_3o44A,MSAT,7,0,0,7,,,,,,,,no_F1F2_split,7,,,
1xezA_3o44A,DDG,7,2,2,3,2.0,1.0,0.25,0.607,0.3333,1.0,1.2705,,7,1.0,0.9994821428571429,1.0
1xezA_3o44A,CCMpred,7,0,0,7,,,,,,,,no_F1F2_split,7,,,
2grmB_2axzA,AF2,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,ESM,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,MSAT,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,DDG,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,CCMpred,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2kb8A_6vw2A,AF2,20,8,6,6,4.0,0.3234,0.5,0.5572,0.4524,0.5124,0.4985,,20,0.72765,0.9994821428571429,1.0
2kb8A_6vw2A,ESM,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kb8A_6vw2A,MSAT,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kb8A_6vw2A,DDG,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kb8A_6vw2A,CCMpred,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kkwA_2n0aD,AF2,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2kkwA_2n0aD,ESM,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2kkwA_2n0aD,MSAT,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2kkwA_2n0aD,DDG,32,0,1,31,,,,,,,,no_F1F2_split,32,,,
2kkwA_2n0aD,CCMpred,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2lelA_2k0qA,AF2,20,8,7,5,3.0,0.0199,0.6,0.2637,0.5778,0.0995,-0.5193,,20,0.22387500000000002,0.742909090909091,0.40040000000000003
2lelA_2k0qA,ESM,20,0,1,19,,,,,,,,no_F1F2_split,20,,,
2lelA_2k0qA,MSAT,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2lelA_2k0qA,DDG,20,0,3,17,,,,,,,,no_F1F2_split,20,,,
2lelA_2k0qA,CCMpred,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2lv1A_6lniA,AF2,26,1,1,24,1.0,1.0,0.0,1.0,,,,,26,1.0,1.0,
2lv1A_6lniA,ESM,26,0,0,26,,,,,,,,no_F1F2_split,26,,,
2lv1A_6lniA,MSAT,26,1,1,24,1.0,1.0,0.0,1.0,,,,,26,1.0,1.0,
2lv1A_6lniA,DDG,26,0,1,25,,,,,,,,no_F1F2_split,26,,,
2lv1A_6lniA,CCMpred,26,0,0,26,,,,,,,,no_F1F2_split,26,,,
2mwfA_2nntA,AF2,100,5,3,92,3.0,1.0,0.5,0.602,0.375,0.9403,1.0027,,100,1.0,0.9994821428571429,1.0
2mwfA_2nntA,ESM,100,0,1,99,,,,,,,,no_F1F2_split,100,,,
2mwfA_2nntA,MSAT,100,1,1,98,1.0,1.0,0.0,1.0,,,,,100,1.0,1.0,
2mwfA_2nntA,DDG,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2mwfA_2nntA,CCMpred,100,1,2,97,1.0,1.0,0.6667,0.3284,,,,,100,1.0,0.742909090909091,
2n54B_2hdmA,AF2,100,4,9,87,4.0,1.0,0.3846,0.9055,0.5128,0.6219,1.2956,,100,1.0,1.0,1.0
2n54B_2hdmA,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2n54B_2hdmA,MSAT,100,10,6,84,5.0,0.6269,0.4375,0.7811,0.5208,0.4279,1.0677,,100,1.0,1.0,1.0
2n54B_2hdmA,DDG,100,2,0,98,,,,,,,,no_F1F2_split,100,,,
2n54B_2hdmA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2namA_1uxmK,AF2,100,10,6,84,5.0,0.6119,0.3125,0.9055,0.3958,0.9751,1.1248,,100,1.0,1.0,1.0
2namA_1uxmK,ESM,100,0,2,98,,,,,,,,no_F1F2_split,100,,,
2namA_1uxmK,MSAT,100,10,6,84,5.0,0.6915,0.625,0.2687,0.6042,0.1692,0.7317,,100,1.0,0.742909090909091,0.5383636363636364
2namA_1uxmK,DDG,100,5,8,87,2.0,0.0448,0.8462,0.0348,0.8462,0.005,0.4023,,100,0.336,0.39149999999999996,0.035
2namA_1uxmK,CCMpred,100,0,1,99,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,AF2,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,DDG,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2pbkB_3njqA,AF2,16,1,0,15,,,,,,,,no_F1F2_split,16,,,
2pbkB_3njqA,ESM,16,0,1,15,,,,,,,,no_F1F2_split,16,,,
2pbkB_3njqA,MSAT,16,0,0,16,,,,,,,,no_F1F2_split,16,,,
2pbkB_3njqA,DDG,16,6,7,3,1.0,0.005,1.0,0.005,0.8974,0.005,-3.4946,,16,0.075,0.1125,0.035
2pbkB_3njqA,CCMpred,16,0,0,16,,,,,,,,no_F1F2_split,16,,,
