pair_id,cluster,n,neff,AF2_TM1,AF2_TM2,AF3_TM1,AF3_TM2,RE-MSAT-COM,RE-MSAT1,RE-MSAT2,ESM_SEQIDS,ESM_TM1_LIST,ESM_TM2_LIST,DDG_Bias,DDG_Bias_std,DDG_frac_F1,Boltz2_pref,S4PRED_pref,CCMpred_pref,BioEmu_pref
1dzlA_5keqF,Deep,,,0.923,0.916,0.93,0.925,0.256,0.242,0.25,,,,,,,,-0.028,0.0,
1dzlA_5keqF,000,54.0,6.0,0.195,0.224,0.253,0.258,0.0,0.0,0.0,003; 003; 005; 001; 007; 007; 006; 008; 010; 005,0.40; 0.40; 0.25; 0.24; 0.24; 0.24; 0.24; 0.23; 0.23; 0.22,0.38; 0.39; 0.21; 0.24; 0.23; 0.21; 0.24; 0.23; 0.22; 0.17,-16.665,1.828,0.0,0.003,-0.023,0.0,0.003
1dzlA_5keqF,001,52.0,7.0,0.188,0.168,0.225,0.203,0.0,0.0,0.0,002; 002; 006; 006; 003; 005; 010; 010; 005; 003,0.29; 0.28; 0.26; 0.26; 0.25; 0.25; 0.25; 0.24; 0.24; 0.24,0.28; 0.27; 0.25; 0.25; 0.22; 0.25; 0.24; 0.25; 0.23; 0.22,-11.774,2.897,0.0,0.006,-0.025,0.0,-0.001
1dzlA_5keqF,002,52.0,6.0,0.168,0.174,0.175,0.187,0.0,0.0,0.0,002; 002; 001; 001; 006; 006; 005; 010; 004; 003,0.32; 0.32; 0.26; 0.25; 0.24; 0.23; 0.22; 0.22; 0.22; 0.22,0.33; 0.32; 0.24; 0.24; 0.24; 0.24; 0.21; 0.22; 0.23; 0.22,-8.291,4.161,0.0,-0.007,-0.027,0.0,0.002
1dzlA_5keqF,003,42.0,14.0,0.206,0.155,0.36,0.35,,,,004; 006; 001; 002; 005; 008; 009; 003; 007; 010,0.21; 0.19; 0.18; 0.18; 0.18; 0.18; 0.18; 0.17; 0.14; 0.12,0.21; 0.19; 0.18; 0.17; 0.16; 0.17; 0.19; 0.15; 0.14; 0.11,-6.352,3.11,0.0,-0.002,-0.027,,-0.003
1dzlA_5keqF,004,38.0,9.0,0.186,0.187,0.206,0.227,0.0,0.0,0.0,004; 004; 002; 006; 008; 001; 009; 008; 005; 002,0.21; 0.21; 0.19; 0.19; 0.19; 0.18; 0.18; 0.18; 0.18; 0.18,0.18; 0.21; 0.17; 0.19; 0.18; 0.19; 0.19; 0.17; 0.16; 0.17,-15.037,1.844,0.0,0.005,-0.028,0.0,-0.001
1dzlA_5keqF,005,36.0,14.0,0.225,0.221,0.477,0.467,0.0,0.0,0.0,002; 010; 010; 008; 002; 008; 009; 007; 009; 007,0.29; 0.27; 0.27; 0.26; 0.26; 0.26; 0.24; 0.24; 0.24; 0.23,0.25; 0.27; 0.27; 0.26; 0.25; 0.26; 0.25; 0.24; 0.24; 0.22,-11.977,3.665,0.0,0.01,-0.021,0.0,-0.0
1dzlA_5keqF,006,35.0,17.0,0.345,0.34,0.656,0.639,,,,,,,-17.396,12.522,0.0,0.015,-0.028,,0.0
1dzlA_5keqF,007,34.0,4.0,0.181,0.174,0.49,0.464,,,,,,,-8.026,4.367,0.0,0.011,-0.026,,-0.006
1dzlA_5keqF,008,34.0,10.0,0.164,0.159,0.228,0.221,,,,,,,-9.69,2.676,0.0,0.013,-0.028,,0.007
