pair_id,n_methods,AF2_AF3_pct,AF2_AF3_n,AF2_AF3_p,AF2_ESM_pct,AF2_ESM_n,AF2_ESM_p,AF2_MSAT_pct,AF2_MSAT_n,AF2_MSAT_p,AF2_CCMpred_pct,AF2_CCMpred_n,AF2_CCMpred_p,AF2_DDG_pct,AF2_DDG_n,AF2_DDG_p,AF2_Boltz2_pct,AF2_Boltz2_n,AF2_Boltz2_p,AF2_BioEmu_pct,AF2_BioEmu_n,AF2_BioEmu_p,AF3_ESM_pct,AF3_ESM_n,AF3_ESM_p,AF3_MSAT_pct,AF3_MSAT_n,AF3_MSAT_p,AF3_CCMpred_pct,AF3_CCMpred_n,AF3_CCMpred_p,AF3_DDG_pct,AF3_DDG_n,AF3_DDG_p,AF3_Boltz2_pct,AF3_Boltz2_n,AF3_Boltz2_p,AF3_BioEmu_pct,AF3_BioEmu_n,AF3_BioEmu_p,ESM_MSAT_pct,ESM_MSAT_n,ESM_MSAT_p,ESM_CCMpred_pct,ESM_CCMpred_n,ESM_CCMpred_p,ESM_DDG_pct,ESM_DDG_n,ESM_DDG_p,ESM_Boltz2_pct,ESM_Boltz2_n,ESM_Boltz2_p,ESM_BioEmu_pct,ESM_BioEmu_n,ESM_BioEmu_p,MSAT_CCMpred_pct,MSAT_CCMpred_n,MSAT_CCMpred_p,MSAT_DDG_pct,MSAT_DDG_n,MSAT_DDG_p,MSAT_Boltz2_pct,MSAT_Boltz2_n,MSAT_Boltz2_p,MSAT_BioEmu_pct,MSAT_BioEmu_n,MSAT_BioEmu_p,CCMpred_DDG_pct,CCMpred_DDG_n,CCMpred_DDG_p,CCMpred_Boltz2_pct,CCMpred_Boltz2_n,CCMpred_Boltz2_p,CCMpred_BioEmu_pct,CCMpred_BioEmu_n,CCMpred_BioEmu_p,DDG_Boltz2_pct,DDG_Boltz2_n,DDG_Boltz2_p,DDG_BioEmu_pct,DDG_BioEmu_n,DDG_BioEmu_p,Boltz2_BioEmu_pct,Boltz2_BioEmu_n,Boltz2_BioEmu_p,mean_concordance,mean_n_clusters,max_concordance_methods,max_concordance_pct
1dzlA_5keqF,8,0.622,45.0,0.068,0.348,46.0,0.9865,,0.0,,,0.0,,0.543,46.0,0.3291,0.565,46.0,0.2305,0.378,45.0,0.9632,0.457,46.0,0.7695,,0.0,,,0.0,,0.609,46.0,0.0923,0.565,46.0,0.2305,0.5,46.0,0.5586,,0.0,,,0.0,,0.426,47.0,0.8784,0.468,47.0,0.7202,0.609,46.0,0.0923,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.458,48.0,0.7648,0.435,46.0,0.849,0.5,46.0,0.5586,0.499,46.1,AF2~AF3,0.622
1eboE_5fhcJ,8,0.818,44.0,0.0,0.591,44.0,0.1456,,0.0,,,0.0,,0.773,44.0,0.0003,0.727,44.0,0.0021,0.591,44.0,0.1456,0.545,44.0,0.3255,,0.0,,,0.0,,0.818,44.0,0.0,0.818,44.0,0.0,0.636,44.0,0.0486,,0.0,,,0.0,,0.682,44.0,0.0119,0.682,44.0,0.0119,0.545,44.0,0.3255,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.773,44.0,0.0003,0.591,44.0,0.1456,0.591,44.0,0.1456,0.679,44.0,AF2~AF3,0.818
1fzpD_2frhA,7,0.682,88.0,0.0005,0.489,90.0,0.6241,0.0,3.0,1.0,,0.0,,0.556,90.0,0.1714,,,,0.54,87.0,0.26,0.455,88.0,0.8313,0.333,3.0,1.0,,0.0,,0.534,88.0,0.297,,,,0.518,85.0,0.4141,0.333,3.0,1.0,,0.0,,0.467,90.0,0.7697,,,,0.552,87.0,0.1955,,0.0,,0.333,3.0,1.0,,,,0.333,3.0,1.0,,0.0,,,,,,0.0,,,,,0.506,87.0,0.5,,,,0.442,59.7,AF2~AF3,0.682
1iytA_2naoF,8,0.333,12.0,0.9255,0.5,12.0,0.6136,0.0,1.0,1.0,,0.0,,0.5,12.0,0.6136,0.5,12.0,0.6136,0.333,12.0,0.9255,0.5,12.0,0.6136,0.0,1.0,1.0,,0.0,,0.5,12.0,0.6136,0.833,12.0,0.0217,0.5,12.0,0.6136,1.0,1.0,1.0,,0.0,,0.5,12.0,0.6136,0.667,12.0,0.1932,0.5,12.0,0.6136,,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.5,12.0,0.6136,0.667,12.0,0.1932,0.333,12.0,0.9255,0.413,8.9,ESM~MSAT,1.0
1jfkA_2nxqB,8,0.443,97.0,0.8885,0.44,100.0,0.9032,0.55,20.0,0.4115,0.5,10.0,0.6241,0.38,100.0,0.9938,0.52,100.0,0.3821,0.49,98.0,0.6191,0.619,97.0,0.0127,0.5,20.0,0.5885,0.3,10.0,0.9431,0.66,97.0,0.0012,0.588,97.0,0.0521,0.589,95.0,0.0503,0.45,20.0,0.7488,0.6,10.0,0.3759,0.62,100.0,0.0107,0.68,100.0,0.0002,0.582,98.0,0.0649,0.222,9.0,0.9772,0.35,20.0,0.9412,0.55,20.0,0.4115,0.526,19.0,0.5,0.4,10.0,0.8286,0.5,10.0,0.6241,0.6,10.0,0.3759,0.62,100.0,0.0107,0.5,98.0,0.5402,0.571,98.0,0.0946,0.513,59.4,ESM~Boltz2,0.68
1kctA_3t1pA,8,0.434,99.0,0.9203,0.42,100.0,0.9554,0.45,20.0,0.7488,0.25,4.0,1.0,0.56,100.0,0.1357,0.561,98.0,0.1332,0.66,100.0,0.001,0.636,99.0,0.0045,0.55,20.0,0.4115,0.75,4.0,1.0,0.394,99.0,0.9865,0.505,97.0,0.5,0.354,99.0,0.9987,0.35,20.0,0.9412,0.75,4.0,1.0,0.44,100.0,0.9032,0.48,98.0,0.6932,0.46,100.0,0.8159,0.25,4.0,1.0,0.45,20.0,0.7488,0.474,19.0,0.6768,0.55,20.0,0.4115,0.25,4.0,1.0,0.5,4.0,1.0,0.25,4.0,1.0,0.469,98.0,0.7602,0.62,100.0,0.0107,0.551,98.0,0.1816,0.477,58.3,AF3~CCMpred,0.75
1miqB_1qs8B,8,0.646,99.0,0.0024,0.48,100.0,0.6915,0.429,14.0,0.7887,0.333,3.0,1.0,0.52,100.0,0.3821,0.44,100.0,0.9032,0.438,96.0,0.9077,0.596,99.0,0.0352,0.385,13.0,0.8664,1.0,2.0,1.0,0.596,99.0,0.0352,0.596,99.0,0.0352,0.547,95.0,0.2059,0.357,14.0,0.9093,0.667,3.0,1.0,0.62,100.0,0.0107,0.68,100.0,0.0002,0.458,96.0,0.8208,1.0,3.0,1.0,0.429,14.0,0.7887,0.357,14.0,0.9093,0.538,13.0,0.5,0.667,3.0,1.0,0.667,3.0,1.0,0.667,3.0,1.0,0.66,100.0,0.001,0.448,96.0,0.8692,0.562,96.0,0.1308,0.564,56.3,AF3~CCMpred,1.0
1mnmD_1mnmC,7,0.72,100.0,0.0,0.7,100.0,0.0,0.333,12.0,0.9255,1.0,3.0,1.0,0.46,100.0,0.8159,,,,,0.0,,0.64,100.0,0.0035,0.417,12.0,0.8068,1.0,3.0,1.0,0.54,100.0,0.242,,,,,0.0,,0.417,12.0,0.8068,1.0,3.0,1.0,0.34,100.0,0.9995,,,,,0.0,,0.0,2.0,1.0,0.5,12.0,0.6136,,,,,0.0,,0.0,3.0,1.0,,,,,0.0,,,,,,0.0,,,,,0.538,44.1,AF2~CCMpred,1.0
1nocA_1qomB,8,0.56,100.0,0.1357,0.515,97.0,0.4195,0.889,18.0,0.0011,,0.0,,0.54,100.0,0.242,0.44,100.0,0.9032,0.526,97.0,0.3423,0.546,97.0,0.2083,0.611,18.0,0.2398,,0.0,,0.46,100.0,0.8159,0.5,100.0,0.5398,0.412,97.0,0.9662,0.438,16.0,0.7734,,0.0,,0.546,97.0,0.2083,0.515,97.0,0.4195,0.511,94.0,0.4589,,0.0,,0.444,18.0,0.7602,0.333,18.0,0.9505,0.588,17.0,0.3138,,0.0,,,0.0,,,0.0,,0.56,100.0,0.1357,0.515,97.0,0.4195,0.495,97.0,0.5805,0.521,75.0,AF2~MSAT,0.889
1nqjB_1nqdA,8,0.84,100.0,0.0,0.46,100.0,0.8159,0.429,14.0,0.7887,,0.0,,0.54,100.0,0.242,0.48,100.0,0.6915,0.88,100.0,0.0,0.54,100.0,0.242,0.429,14.0,0.7887,,0.0,,0.52,100.0,0.3821,0.44,100.0,0.9032,0.82,100.0,0.0,0.571,14.0,0.3946,,0.0,,0.54,100.0,0.242,0.64,100.0,0.0035,0.4,100.0,0.9821,,0.0,,0.571,14.0,0.3946,0.571,14.0,0.3946,0.357,14.0,0.9093,,0.0,,,0.0,,,0.0,,0.46,100.0,0.8159,0.58,100.0,0.0668,0.38,100.0,0.9938,0.545,75.4,AF2~BioEmu,0.88
