pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,notes,n_clusters,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
1dzlA_5keqF,AF2,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1dzlA_5keqF,ESM,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1dzlA_5keqF,MSAT,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1dzlA_5keqF,DDG,49,21,21,7,9.0,0.0199,0.7381,0.005,0.746,0.005,-0.1421,,49,0.06438235294117647,0.025,0.0159375
1dzlA_5keqF,CCMpred,49,0,0,49,,,,,,,,no_F1F2_split,49,,,
1eboE_5fhcJ,AF2,44,4,15,25,3.0,0.1443,0.6316,0.7363,0.7193,0.1095,0.5421,,44,0.2834464285714286,0.8616276595744681,0.20683333333333334
1eboE_5fhcJ,ESM,44,1,1,42,1.0,1.0,0.0,1.0,,,,,44,1.0,1.0,
1eboE_5fhcJ,MSAT,44,0,0,44,,,,,,,,no_F1F2_split,44,,,
1eboE_5fhcJ,DDG,44,20,17,7,4.0,0.005,0.7297,0.01,0.7477,0.005,-0.8162,,44,0.021153846153846155,0.03666666666666667,0.0159375
1eboE_5fhcJ,CCMpred,44,0,0,44,,,,,,,,no_F1F2_split,44,,,
1fzpD_2frhA,AF2,90,21,2,67,2.0,1.0,0.8696,0.5373,0.8986,0.0597,1.4058,,90,1.0,0.7387875,0.12686250000000002
1fzpD_2frhA,ESM,90,2,2,86,2.0,1.0,0.0,1.0,0.3333,1.0,1.21,,90,1.0,1.0,1.0
1fzpD_2frhA,MSAT,90,0,2,88,,,,,,,,no_F1F2_split,90,,,
1fzpD_2frhA,DDG,90,32,30,28,15.0,0.005,0.7581,0.005,0.672,0.005,0.475,,90,0.021153846153846155,0.025,0.0159375
1fzpD_2frhA,CCMpred,90,0,0,90,,,,,,,,no_F1F2_split,90,,,
1iytA_2naoF,AF2,12,4,1,7,1.0,1.0,0.6,0.8159,0.5333,1.0,-0.4515,,12,1.0,0.9158061224489795,1.0
1iytA_2naoF,ESM,12,1,0,11,,,,,,,,no_F1F2_split,12,,,
1iytA_2naoF,MSAT,12,0,0,12,,,,,,,,no_F1F2_split,12,,,
1iytA_2naoF,DDG,12,0,0,12,,,,,,,,no_F1F2_split,12,,,
1iytA_2naoF,CCMpred,12,0,0,12,,,,,,,,no_F1F2_split,12,,,
1nrjB_2gedB,AF2,100,23,18,59,7.0,0.005,0.7561,0.005,0.6504,0.0199,0.3195,,100,0.021153846153846155,0.025,0.050745000000000005
1nrjB_2gedB,ESM,100,1,4,95,1.0,1.0,0.8,0.2338,0.5333,1.0,0.8181,,100,1.0,0.40184375,1.0
1nrjB_2gedB,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1nrjB_2gedB,DDG,100,40,43,17,6.0,0.005,0.8675,0.005,0.8514,0.005,-0.4919,,100,0.021153846153846155,0.025,0.0159375
1nrjB_2gedB,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,AF2,100,3,1,96,1.0,1.0,0.75,0.5323,0.5,1.0,0.6361,,100,1.0,0.7387875,1.0
1qb3A_3qy2A,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1qb3A_3qy2A,DDG,100,27,21,52,6.0,0.005,0.875,0.005,0.8264,0.005,0.0312,,100,0.021153846153846155,0.025,0.0159375
1qb3A_3qy2A,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,AF2,100,3,13,84,3.0,1.0,0.8125,0.1592,0.7708,0.0945,0.7282,,100,1.0,0.30193103448275865,0.19277999999999998
1rk4B_1k0nA,ESM,100,2,0,98,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1rk4B_1k0nA,DDG,100,27,28,45,14.0,0.0149,0.6182,0.0896,0.6121,0.005,0.6617,,100,0.05463333333333333,0.20533333333333334,0.0159375
1rk4B_1k0nA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
1svfC_4wsgC,AF2,4,1,1,2,1.0,1.0,0.0,1.0,,,,,4,1.0,1.0,
1svfC_4wsgC,ESM,4,1,0,3,,,,,,,,no_F1F2_split,4,,,
1svfC_4wsgC,MSAT,4,0,1,3,,,,,,,,no_F1F2_split,4,,,
1svfC_4wsgC,DDG,4,2,2,0,1.0,0.3234,0.5,0.3035,0.3333,1.0,-31.25,,4,0.539,0.46368055555555554,1.0
1svfC_4wsgC,CCMpred,4,0,0,4,,,,,,,,no_F1F2_split,4,,,
1wp8C_5ejbC,AF2,15,6,4,5,2.0,0.1144,0.8,0.1294,0.6667,0.0448,-0.7668,,15,0.242,0.2541785714285714,0.09933913043478261
1wp8C_5ejbC,ESM,15,0,0,15,,,,,,,,no_F1F2_split,15,,,
1wp8C_5ejbC,MSAT,15,1,0,14,,,,,,,,no_F1F2_split,15,,,
1wp8C_5ejbC,DDG,15,7,7,1,4.0,0.3035,0.7143,0.0995,0.4524,0.4478,-0.1308,,15,0.5384677419354839,0.2189,0.6525085714285713
1wp8C_5ejbC,CCMpred,15,0,0,15,,,,,,,,no_F1F2_split,15,,,
1xezA_3o44A,AF2,7,1,0,6,,,,,,,,no_F1F2_split,7,,,
1xezA_3o44A,ESM,7,0,1,6,,,,,,,,no_F1F2_split,7,,,
1xezA_3o44A,MSAT,7,0,0,7,,,,,,,,no_F1F2_split,7,,,
1xezA_3o44A,DDG,7,3,2,2,2.0,1.0,0.4,0.6965,0.3333,1.0,2.5795,,7,1.0,0.8387500000000001,1.0
1xezA_3o44A,CCMpred,7,0,0,7,,,,,,,,no_F1F2_split,7,,,
2grmB_2axzA,AF2,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,ESM,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,MSAT,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2grmB_2axzA,DDG,2,1,1,0,1.0,1.0,0.0,1.0,,,,,2,1.0,1.0,
2grmB_2axzA,CCMpred,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
2kb8A_6vw2A,AF2,20,8,6,6,4.0,0.3234,0.5,0.5572,0.4524,0.5124,0.4985,,20,0.539,0.7474634146341463,0.706281081081081
2kb8A_6vw2A,ESM,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kb8A_6vw2A,MSAT,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kb8A_6vw2A,DDG,20,3,0,17,,,,,,,,no_F1F2_split,20,,,
2kb8A_6vw2A,CCMpred,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2kkwA_2n0aD,AF2,32,8,3,21,3.0,1.0,0.7273,0.204,0.5758,0.5075,0.8877,,32,1.0,0.37399999999999994,0.706281081081081
2kkwA_2n0aD,ESM,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2kkwA_2n0aD,MSAT,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2kkwA_2n0aD,DDG,32,6,9,17,2.0,0.005,0.9333,0.01,0.8667,0.005,-0.2182,,32,0.021153846153846155,0.03666666666666667,0.0159375
2kkwA_2n0aD,CCMpred,32,0,0,32,,,,,,,,no_F1F2_split,32,,,
2lelA_2k0qA,AF2,20,8,7,5,3.0,0.0199,0.6,0.2637,0.5778,0.0995,-0.5193,,20,0.06438235294117647,0.4265735294117647,0.19517307692307695
2lelA_2k0qA,ESM,20,0,1,19,,,,,,,,no_F1F2_split,20,,,
2lelA_2k0qA,MSAT,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2lelA_2k0qA,DDG,20,4,6,10,2.0,0.1244,0.9,0.0348,0.8,0.0249,-0.1909,,20,0.2534074074074074,0.0957,0.06047142857142857
2lelA_2k0qA,CCMpred,20,0,0,20,,,,,,,,no_F1F2_split,20,,,
2lv1A_6lniA,AF2,26,10,9,7,5.0,0.1592,0.4737,0.5124,0.5263,0.3035,0.6626,,26,0.30193103448275865,0.7387875,0.46904545454545454
2lv1A_6lniA,ESM,26,0,1,25,,,,,,,,no_F1F2_split,26,,,
2lv1A_6lniA,MSAT,26,0,1,25,,,,,,,,no_F1F2_split,26,,,
2lv1A_6lniA,DDG,26,11,10,5,5.0,0.0896,0.7619,0.0249,0.5873,0.1144,-0.0879,,26,0.20533333333333334,0.08559375,0.2083714285714286
2lv1A_6lniA,CCMpred,26,0,0,26,,,,,,,,no_F1F2_split,26,,,
2mwfA_2nntA,AF2,100,23,7,70,7.0,1.0,0.6333,0.597,0.7,0.1841,0.9998,,100,1.0,0.7636046511627907,0.3028741935483871
2mwfA_2nntA,ESM,100,0,1,99,,,,,,,,no_F1F2_split,100,,,
2mwfA_2nntA,MSAT,100,0,7,93,,,,,,,,no_F1F2_split,100,,,
2mwfA_2nntA,DDG,100,1,3,96,1.0,1.0,0.5,0.7015,0.5,1.0,1.2107,,100,1.0,0.8387500000000001,1.0
2mwfA_2nntA,CCMpred,100,5,0,95,,,,,,,,no_F1F2_split,100,,,
2n54B_2hdmA,AF2,100,31,30,39,16.0,0.0299,0.6393,0.0299,0.6339,0.0149,0.4473,,100,0.082225,0.09136111111111112,0.042216666666666666
2n54B_2hdmA,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2n54B_2hdmA,MSAT,100,0,6,94,,,,,,,,no_F1F2_split,100,,,
2n54B_2hdmA,DDG,100,31,16,53,11.0,0.0746,0.7447,0.01,0.6383,0.0398,0.0921,,100,0.17839130434782607,0.03666666666666667,0.09226363636363638
2n54B_2hdmA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2namA_1uxmK,AF2,100,39,34,27,25.0,0.6915,0.4521,0.796,0.484,0.6219,0.9803,,100,1.0,0.9120833333333334,0.8346552631578947
2namA_1uxmK,ESM,100,3,4,93,3.0,1.0,0.4286,0.5771,0.381,0.7512,1.0265,,100,1.0,0.7557261904761904,0.9121714285714285
2namA_1uxmK,MSAT,100,4,9,87,2.0,0.0398,0.8462,0.0348,0.7949,0.01,0.4142,,100,0.10423809523809524,0.0957,0.03
2namA_1uxmK,DDG,100,46,47,7,16.0,0.005,0.7527,0.005,0.7419,0.005,-0.0169,,100,0.021153846153846155,0.025,0.0159375
2namA_1uxmK,CCMpred,100,0,1,99,,,,,,,,no_F1F2_split,100,,,
