pair_id,cluster,method,TM1_max,TM2_max,TM1_mean,TM2_mean,TMdiff_max,TMdiff_mean,n_models,n_toward_f1,n_toward_f2,vote_frac_f1,pref,TMdiff_centered,pref_centered,pair_median_used,t1_recall,t2_recall,metric_used,ddg_bias_mean,ddg_bias_std,ddg_sum_F1_mean,ddg_sum_F2_mean,cluster_norm,mean_pid_to_query,TMdiff_residual,pref_corrected,regression_beta,regression_alpha
1dzlA_5keqF,DeepMsa,AF2,0.9225,0.9157,0.9216,0.9032,0.0068,0.0184,2,2,0,1.0,Amb,0.0068,Amb,0.0272,,,,,,,,DeepMsa,,,Amb,-0.17765399896600992,0.09360705795570061
1dzlA_5keqF,ShallowMsa_000,AF2,0.9016,0.8729,0.9013,0.8728,0.0286,0.0285,2,2,0,1.0,Amb,0.0014,Amb,0.0272,,,,,,,,ShallowMsa_000,0.4963810796681602,-0.004022974141586392,Amb,-0.17765399896600992,0.09360705795570061
1dzlA_5keqF,ShallowMsa_001,AF2,0.8567,0.8294,0.8562,0.8288,0.0272,0.0274,2,2,0,1.0,Amb,0.0,Amb,0.0272,,,,,,,,ShallowMsa_001,0.5047724823509169,-0.0039322078980605635,Amb,-0.17765399896600992,0.09360705795570061
1dzlA_5keqF,ShallowMsa_002,AF2,0.919,0.8785,0.9183,0.878,0.0406,0.0403,2,2,0,1.0,Amb,0.0134,Amb,0.0272,,,,,,,,ShallowMsa_002,0.5393560619938017,0.015611703324057416,Amb,-0.17765399896600992,0.09360705795570061
1dzlA_5keqF,ShallowMsa_004,AF2,0.3543,0.3446,0.3097,0.3012,0.0097,0.0085,2,2,0,1.0,Amb,-0.0175,Amb,0.0272,,,,,,,,ShallowMsa_004,0.5902776391583786,-0.006241874858999241,Amb,-0.17765399896600992,0.09360705795570061
1dzlA_5keqF,ShallowMsa_005,AF2,0.7568,0.7321,0.7549,0.7297,0.0247,0.0252,2,2,0,1.0,Amb,-0.0025,Amb,0.0272,,,,,,,,ShallowMsa_005,0.5330159302994727,-0.001414646425411279,Amb,-0.17765399896600992,0.09360705795570061
1dzlA_5keqF,DeepMsa,AF3,0.9296,0.9245,0.929,0.9091,0.0051,0.0199,2,2,0,1.0,Amb,0.0051,Amb,0.0375,,,,,,,,DeepMsa,,,Amb,-0.1432669104431387,0.07248697071142357
1dzlA_5keqF,ShallowMsa_000,AF3,0.9104,0.8813,0.9102,0.8812,0.0291,0.0289,2,2,0,1.0,Amb,-0.0084,Amb,0.0375,,,,,,,,ShallowMsa_000,0.4963810796681602,-0.009771987024936766,Amb,-0.1432669104431387,0.07248697071142357
1dzlA_5keqF,ShallowMsa_001,AF3,0.9136,0.8713,0.9136,0.8711,0.0423,0.0425,2,2,0,1.0,Amb,0.0048,Amb,0.0375,,,,,,,,ShallowMsa_001,0.5047724823509169,0.00463022331170604,Amb,-0.1432669104431387,0.07248697071142357
1dzlA_5keqF,ShallowMsa_002,AF3,0.9268,0.8883,0.9243,0.8866,0.0386,0.0377,2,2,0,1.0,Amb,0.0011,Amb,0.0375,,,,,,,,ShallowMsa_002,0.5393560619938017,0.005884905919206384,Amb,-0.1432669104431387,0.07248697071142357
