pair_id,n_clusters,n_methods_present,n_perm,observed_mean_concordance,perm_mean_concordance_p,observed_has_both_folds_centered,perm_has_both_folds_centered_p,observed_AF2_ESM,observed_AF2_ESM_n,perm_AF2_ESM_p,observed_AF2_MSAT,observed_AF2_MSAT_n,perm_AF2_MSAT_p,observed_AF2_CCMpred,observed_AF2_CCMpred_n,perm_AF2_CCMpred_p,observed_AF2_DDG,observed_AF2_DDG_n,perm_AF2_DDG_p,observed_ESM_MSAT,observed_ESM_MSAT_n,perm_ESM_MSAT_p,observed_ESM_CCMpred,observed_ESM_CCMpred_n,perm_ESM_CCMpred_p,observed_ESM_DDG,observed_ESM_DDG_n,perm_ESM_DDG_p,observed_MSAT_CCMpred,observed_MSAT_CCMpred_n,perm_MSAT_CCMpred_p,observed_MSAT_DDG,observed_MSAT_DDG_n,perm_MSAT_DDG_p,observed_CCMpred_DDG,observed_CCMpred_DDG_n,perm_CCMpred_DDG_p
1dzlA_5keqF,6,7,1000,0.2778,0.962,True,1.0,0.5,4,0.697,,0,,,0,,0.3333,3,0.838,,0,,,0,,0.0,4,1.0,,0,,,0,,,0,
1eboE_5fhcJ,2,7,1000,0.3333,1.0,True,1.0,1.0,2,0.514,,0,,,0,,0.0,2,1.0,,0,,,0,,0.0,2,1.0,,0,,,0,,,0,
1fzpD_2frhA,8,6,1000,0.5833,0.194,True,1.0,0.5,8,0.767,0.6667,3,0.506,,0,,0.25,8,0.982,0.6667,3,0.518,,0,,0.75,8,0.231,,0,,0.6667,3,0.477,,0,
1iytA_2naoF,1,7,1000,0.5,1.0,False,1.0,1.0,1,1.0,1.0,1,1.0,,0,,0.0,1,1.0,1.0,1,1.0,,0,,0.0,1,1.0,,0,,0.0,1,1.0,,0,
1jfkA_2nxqB,21,7,1000,0.4281,0.974,True,1.0,0.5263,19,0.472,0.4211,19,0.814,0.2222,9,0.975,0.4211,19,0.801,0.3158,19,0.964,0.5,10,0.57,0.7368,19,0.031,0.2222,9,0.959,0.3158,19,0.964,0.6,10,0.33
1kctA_3t1pA,20,7,1000,0.4111,0.74,True,1.0,1.0,1,0.487,0.0,1,1.0,,0,,0.0,1,1.0,0.7,20,0.075,0.25,4,0.946,0.4,20,0.912,0.25,4,0.948,0.6,20,0.331,0.5,4,0.682
1miqB_1qs8B,15,7,1000,0.4718,0.529,True,1.0,1.0,1,0.488,0.0,1,0.922,0.0,1,0.209,0.0,1,0.924,0.2308,13,0.987,0.3333,3,0.864,0.2308,13,0.99,1.0,3,0.117,0.9231,13,0.003,1.0,3,0.135
1mnmD_1mnmC,20,6,1000,0.425,0.814,True,1.0,0.5,20,0.631,0.5833,12,0.381,0.3333,3,0.902,0.6,20,0.31,0.4167,12,0.809,0.6667,3,0.482,0.4,20,0.914,0.0,2,0.95,0.4167,12,0.816,0.3333,3,0.878
1nocA_1qomB,19,7,1000,0.5349,0.208,True,1.0,0.4444,18,0.688,0.4706,17,0.651,,0,,0.5882,17,0.304,0.6471,17,0.164,,0,,0.5294,17,0.486,,0,,0.5294,17,0.495,,0,
1nqjB_1nqdA,15,7,1000,0.5385,0.274,True,1.0,0.7692,13,0.047,0.3846,13,0.873,,0,,0.5385,13,0.487,0.5385,13,0.508,,0,,0.6154,13,0.275,,0,,0.3846,13,0.86,,0,
1nrjB_2gedB,18,7,1000,0.5505,0.193,True,1.0,0.7778,18,0.036,0.7273,11,0.13,,0,,0.4444,18,0.828,0.6364,11,0.272,,0,,0.4444,18,0.832,,0,,0.2727,11,0.964,,0,
1qb3A_3qy2A,20,7,1000,0.5786,0.133,True,1.0,0.7,20,0.093,0.7143,7,0.246,,0,,0.6,20,0.305,0.4286,7,0.77,,0,,0.6,20,0.338,,0,,0.4286,7,0.774,,0,
1qlnA_1h38D,11,7,1000,0.6037,0.236,True,1.0,1.0,1,0.467,1.0,1,0.501,,0,,0.0,1,1.0,0.4444,9,0.708,,0,,0.7778,9,0.096,,0,,0.4,10,0.892,,0,
1rk4B_1k0nA,16,7,1000,0.5417,0.272,True,1.0,0.625,16,0.287,0.5,8,0.677,,0,,0.5,16,0.67,0.375,8,0.889,,0,,0.625,16,0.315,,0,,0.625,8,0.323,,0,
1svfC_4wsgC,1,7,1000,0.5,1.0,False,1.0,1.0,1,1.0,0.0,1,1.0,,0,,1.0,1,1.0,0.0,1,1.0,,0,,1.0,1,1.0,,0,,0.0,1,1.0,,0,
1wp8C_5ejbC,1,7,1000,1.0,1.0,False,1.0,1.0,1,1.0,1.0,1,1.0,,0,,1.0,1,1.0,1.0,1,1.0,,0,,1.0,1,1.0,,0,,1.0,1,1.0,,0,
1x0gD_1x0gA,21,7,1000,0.4853,0.6,True,1.0,0.5789,19,0.353,0.3158,19,0.958,0.3333,9,0.874,0.5789,19,0.327,0.5263,19,0.487,0.5,8,0.554,0.5789,19,0.328,0.375,8,0.764,0.3158,19,0.969,0.75,8,0.136
1xezA_3o44A,1,7,1000,0.5,1.0,False,1.0,1.0,1,1.0,0.0,1,1.0,,0,,1.0,1,1.0,0.0,1,1.0,,0,,1.0,1,1.0,,0,,0.0,1,1.0,,0,
1xjuB_1xjtA,18,7,1000,0.4722,0.688,True,1.0,0.3333,18,0.971,0.5714,14,0.384,,0,,0.4444,18,0.815,0.5,14,0.585,,0,,0.5556,18,0.487,,0,,0.4286,14,0.79,,0,
1xtgB_3j97M,20,7,1000,0.4,0.973,True,1.0,0.4,20,0.904,,0,,,0,,0.5,20,0.653,,0,,,0,,0.3,20,0.989,,0,,,0,,,0,
1zk9A_3jv6A,20,7,1000,0.55,0.185,True,1.0,0.7,20,0.117,0.6,20,0.333,,0,,0.5,20,0.668,0.4,20,0.905,,0,,0.6,20,0.337,,0,,0.5,20,0.672,,0,
2bzyB_2lqwA,4,7,1000,0.3333,0.95,True,1.0,0.5,4,0.813,1.0,1,0.515,0.0,1,1.0,0.5,4,0.848,0.0,1,1.0,0.0,1,1.0,1.0,4,0.168,,0,,0.0,1,1.0,0.0,1,1.0
