pair_id,n_clusters,n_methods_present,n_perm,observed_mean_concordance,perm_mean_concordance_p,observed_has_both_folds_centered,perm_has_both_folds_centered_p,observed_AF2_ESM,observed_AF2_ESM_n,perm_AF2_ESM_p,observed_AF2_MSAT,observed_AF2_MSAT_n,perm_AF2_MSAT_p,observed_AF2_CCMpred,observed_AF2_CCMpred_n,perm_AF2_CCMpred_p,observed_AF2_DDG,observed_AF2_DDG_n,perm_AF2_DDG_p,observed_ESM_MSAT,observed_ESM_MSAT_n,perm_ESM_MSAT_p,observed_ESM_CCMpred,observed_ESM_CCMpred_n,perm_ESM_CCMpred_p,observed_ESM_DDG,observed_ESM_DDG_n,perm_ESM_DDG_p,observed_MSAT_CCMpred,observed_MSAT_CCMpred_n,perm_MSAT_CCMpred_p,observed_MSAT_DDG,observed_MSAT_DDG_n,perm_MSAT_DDG_p,observed_CCMpred_DDG,observed_CCMpred_DDG_n,perm_CCMpred_DDG_p,p_bh
1eboE_5fhcJ,44,8,1000,0.6818,0.0,True,1.0,0.5909,44,0.188,,0,,,0,,0.7727,44,0.0,,0,,,0,,0.6818,44,0.015,,0,,,0,,,0,,0.0
2k42A_1ceeB,100,8,1000,0.6567,0.0,True,1.0,0.76,100,0.0,0.75,20,0.023,,0,,0.6,100,0.034,0.7,20,0.06,,0,,0.58,100,0.072,,0,,0.55,20,0.44,,0,,0.0
5jytA_2qkeE,100,8,1000,0.755,0.0,True,1.0,0.66,100,0.001,,0,,,0,,0.74,100,0.0,,0,,,0,,0.62,100,0.018,1.0,1,0.512,,0,,,0,,0.0
2lepA_4hddA,100,8,1000,0.757,0.001,True,1.0,0.74,100,0.0,0.6,20,0.253,1.0,1,0.5,0.48,100,0.717,0.5,20,0.552,1.0,1,0.485,0.6,100,0.039,1.0,1,0.477,0.65,20,0.11,1.0,1,0.504,0.02275
4dxrA_4dxtA,100,8,1000,0.605,0.003,True,1.0,0.56,100,0.152,0.6875,16,0.1,,0,,0.6,100,0.027,0.4375,16,0.753,,0,,0.72,100,0.0,,0,,0.625,16,0.225,,0,,0.0546
2namA_1uxmK,100,8,1000,0.5911,0.007,True,1.0,0.58,100,0.091,0.4,20,0.877,0.65,20,0.141,0.58,100,0.075,0.75,20,0.021,0.5,20,0.596,0.78,100,0.0,0.4211,19,0.824,0.65,20,0.138,0.6,20,0.267,0.10616666666666667
5et5A_3ifaA,100,8,1000,0.6076,0.018,True,1.0,0.6429,98,0.003,0.6,20,0.242,0.5,6,0.648,0.56,100,0.167,0.5789,19,0.301,0.6667,6,0.354,0.6939,98,0.0,0.5,6,0.712,0.5,20,0.598,0.8333,6,0.092,0.23399999999999999
1xtgB_3j97M,100,8,1000,0.56,0.025,True,1.0,0.58,100,0.088,,0,,,0,,0.52,100,0.429,,0,,,0,,0.58,100,0.078,,0,,,0,,,0,,0.284375
2n54B_2hdmA,100,8,1000,0.6522,0.031,True,1.0,0.567,97,0.103,0.5263,19,0.491,0.5,2,0.757,0.5,100,0.563,0.7222,18,0.032,1.0,2,0.257,0.6804,97,0.001,1.0,2,0.262,0.5263,19,0.483,0.5,2,0.723,0.31344444444444447
2lelA_2k0qA,20,8,1000,0.49,0.036,True,1.0,0.7,20,0.094,1.0,1,0.484,0.0,1,1.0,0.7,20,0.077,1.0,1,0.489,0.0,1,1.0,0.5,20,0.664,0.0,1,1.0,1.0,1,0.484,0.0,1,1.0,0.3276
