fold_pair,model,cluster_num,name,TMscore_fold1,TMscore_fold2,TMdiff
1jfkA_2nxqB,AF2,DeepMsa,DeepMsa__1jfkA,0.4565752277872493,0.3178907195262982,0.13868450826095108
1jfkA_2nxqB,AF2,DeepMsa,DeepMsa__2nxqB,0.3863033132307228,0.23815685704806672,0.1481464561826561
1jfkA_2nxqB,AF2,ShallowMsa_000,ShallowMsa_000__1jfkA,0.45208318253298724,0.3300570067132626,0.12202617581972464
1jfkA_2nxqB,AF2,ShallowMsa_000,ShallowMsa_000__2nxqB,0.38697396056213396,0.2387158168805197,0.14825814368161425
1jfkA_2nxqB,AF2,ShallowMsa_001,ShallowMsa_001__1jfkA,0.4682158694555672,0.2992248489740591,0.1689910204815081
1jfkA_2nxqB,AF2,ShallowMsa_001,ShallowMsa_001__2nxqB,0.38949419625930715,0.2366859925867704,0.15280820367253675
1jfkA_2nxqB,AF2,ShallowMsa_002,ShallowMsa_002__1jfkA,0.4592980396149812,0.3564906132600309,0.10280742635495033
1jfkA_2nxqB,AF2,ShallowMsa_002,ShallowMsa_002__2nxqB,0.3808751624183919,0.237972703454299,0.14290245896409293
1jfkA_2nxqB,AF2,ShallowMsa_003,ShallowMsa_003__1jfkA,0.47028798582950104,0.296313936237449,0.17397404959205204
1jfkA_2nxqB,AF2,ShallowMsa_003,ShallowMsa_003__2nxqB,0.39275016468220686,0.23809171808549862,0.15465844659670824
1jfkA_2nxqB,AF2,ShallowMsa_004,ShallowMsa_004__1jfkA,0.45382777650873807,0.3578777473640796,0.09595002914465844
1jfkA_2nxqB,AF2,ShallowMsa_004,ShallowMsa_004__2nxqB,0.38322985099633516,0.238952850328183,0.14427700066815216
1jfkA_2nxqB,AF2,ShallowMsa_005,ShallowMsa_005__1jfkA,0.43394780726831905,0.35664658376342234,0.07730122350489671
1jfkA_2nxqB,AF2,ShallowMsa_005,ShallowMsa_005__2nxqB,0.3899032165372814,0.23922081014121424,0.15068240639606714
1jfkA_2nxqB,AF2,ShallowMsa_006,ShallowMsa_006__1jfkA,0.4831098983314142,0.27257502672861816,0.21053487160279605
1jfkA_2nxqB,AF2,ShallowMsa_006,ShallowMsa_006__2nxqB,0.38576994710210744,0.23832020171060866,0.14744974539149877
1jfkA_2nxqB,AF2,ShallowMsa_007,ShallowMsa_007__1jfkA,0.46420260845341943,0.3067429403131402,0.15745966814027923
1jfkA_2nxqB,AF2,ShallowMsa_007,ShallowMsa_007__2nxqB,0.39073085526638807,0.23897629118121202,0.15175456408517604
1jfkA_2nxqB,AF2,ShallowMsa_008,ShallowMsa_008__1jfkA,0.4484379683897247,0.318906725568695,0.12953124282102974
1jfkA_2nxqB,AF2,ShallowMsa_008,ShallowMsa_008__2nxqB,0.38572255428936963,0.23664343077390304,0.1490791235154666
1jfkA_2nxqB,AF2,ShallowMsa_009,ShallowMsa_009__1jfkA,0.4422340703483657,0.36660229320117016,0.07563177714719554
1jfkA_2nxqB,AF2,ShallowMsa_009,ShallowMsa_009__2nxqB,0.38229600330423125,0.23622095211095076,0.1460750511932805
1jfkA_2nxqB,AF2,ShallowMsa_010,ShallowMsa_010__1jfkA,0.47157683878660445,0.33531328662627524,0.1362635521603292
1jfkA_2nxqB,AF2,ShallowMsa_010,ShallowMsa_010__2nxqB,0.3828143956842522,0.23764410619721668,0.1451702894870355
1jfkA_2nxqB,AF2,ShallowMsa_011,ShallowMsa_011__1jfkA,0.48631244585575334,0.29514740105834064,0.1911650447974127
1jfkA_2nxqB,AF2,ShallowMsa_011,ShallowMsa_011__2nxqB,0.3814198708121778,0.23846206194171451,0.1429578088704633
1jfkA_2nxqB,AF2,ShallowMsa_012,ShallowMsa_012__1jfkA,0.43940776110628427,0.3620543496815149,0.07735341142476937
1jfkA_2nxqB,AF2,ShallowMsa_012,ShallowMsa_012__2nxqB,0.38135245018692765,0.240290398253889,0.14106205193303864
