pair_id,cluster,method,TM1_max,TM2_max,TM1_mean,TM2_mean,TMdiff_max,TMdiff_mean,n_models,n_toward_f1,n_toward_f2,vote_frac_f1,pref,TMdiff_centered,pref_centered,pair_median_used,t1_recall,t2_recall,metric_used,ddg_bias_mean,ddg_bias_std,ddg_sum_F1_mean,ddg_sum_F2_mean
1dzlA_5keqF,DeepMsa,AF2,0.9225,0.9157,0.9216,0.9032,0.0069,0.0184,2,2,0,1.0,Amb,0.0069,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_000,AF2,0.1946,0.2242,0.1946,0.2242,-0.0295,-0.0295,2,0,2,0.0,Amb,-0.0347,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_001,AF2,0.1878,0.1678,0.1878,0.1678,0.02,0.02,2,2,0,1.0,Amb,0.0148,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_002,AF2,0.1679,0.1741,0.1679,0.1741,-0.0063,-0.0063,2,0,2,0.0,Amb,-0.0115,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_003,AF2,0.2058,0.1553,0.2058,0.1553,0.0505,0.0505,2,2,0,1.0,F1,0.0453,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_004,AF2,0.1861,0.1869,0.1861,0.1869,-0.0007,-0.0007,2,0,2,0.0,Amb,-0.0059,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_005,AF2,0.2247,0.2213,0.2247,0.2213,0.0034,0.0034,2,2,0,1.0,Amb,-0.0018,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_006,AF2,0.3454,0.3402,0.2594,0.2692,0.0052,-0.0098,2,1,1,0.5,Amb,0.0,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_007,AF2,0.1814,0.1735,0.1814,0.1735,0.0079,0.0079,2,2,0,1.0,Amb,0.0027,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_008,AF2,0.1644,0.1592,0.1644,0.1592,0.0052,0.0052,2,2,0,1.0,Amb,0.0,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_009,AF2,0.2026,0.1962,0.2026,0.1962,0.0064,0.0064,2,2,0,1.0,Amb,0.0012,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_010,AF2,0.202,0.1875,0.202,0.1875,0.0145,0.0145,2,2,0,1.0,Amb,0.0093,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_011,AF2,0.1776,0.1765,0.1776,0.1765,0.0011,0.0011,2,2,0,1.0,Amb,-0.0041,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_012,AF2,0.1743,0.1646,0.1743,0.1646,0.0097,0.0097,2,2,0,1.0,Amb,0.0045,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_013,AF2,0.1891,0.1568,0.1891,0.1568,0.0323,0.0323,2,2,0,1.0,Amb,0.0271,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_014,AF2,0.1711,0.1799,0.1711,0.1799,-0.0088,-0.0088,2,0,2,0.0,Amb,-0.014,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_015,AF2,0.1802,0.1475,0.1802,0.1475,0.0327,0.0327,2,2,0,1.0,Amb,0.0275,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_016,AF2,0.1828,0.1807,0.1828,0.1807,0.0021,0.0021,2,2,0,1.0,Amb,-0.0031,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_017,AF2,0.156,0.1687,0.156,0.1687,-0.0127,-0.0127,2,0,2,0.0,Amb,-0.0179,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_018,AF2,0.1812,0.1658,0.1812,0.1658,0.0154,0.0154,2,2,0,1.0,Amb,0.0102,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_019,AF2,0.3787,0.3739,0.3683,0.3602,0.0048,0.0081,2,2,0,1.0,Amb,-0.0004,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_020,AF2,0.1878,0.1901,0.1846,0.1864,-0.0023,-0.0018,2,1,1,0.5,Amb,-0.0075,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_021,AF2,0.198,0.1849,0.1938,0.1774,0.013,0.0164,2,2,0,1.0,Amb,0.0078,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_022,AF2,0.1811,0.1762,0.1811,0.1762,0.0049,0.0049,2,2,0,1.0,Amb,-0.0003,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_023,AF2,0.1854,0.1811,0.1854,0.1811,0.0042,0.0042,2,2,0,1.0,Amb,-0.001,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_024,AF2,0.1776,0.1839,0.1776,0.1839,-0.0063,-0.0063,2,0,2,0.0,Amb,-0.0115,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_025,AF2,0.3665,0.3611,0.3665,0.3611,0.0054,0.0054,2,2,0,1.0,Amb,0.0002,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_026,AF2,0.1531,0.171,0.1531,0.171,-0.0179,-0.0179,2,0,2,0.0,Amb,-0.0231,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_027,AF2,0.1861,0.2002,0.1811,0.1951,-0.0141,-0.014,2,0,2,0.0,Amb,-0.0193,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_028,AF2,0.198,0.1655,0.198,0.1655,0.0325,0.0325,2,2,0,1.0,Amb,0.0273,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_029,AF2,0.2148,0.2275,0.2148,0.2275,-0.0127,-0.0127,2,0,2,0.0,Amb,-0.0179,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_030,AF2,0.155,0.1653,0.155,0.1653,-0.0102,-0.0102,2,0,2,0.0,Amb,-0.0154,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_031,AF2,0.2138,0.1942,0.1896,0.1788,0.0196,0.0108,2,2,0,1.0,Amb,0.0144,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_032,AF2,0.2233,0.2027,0.2165,0.2026,0.0207,0.014,2,2,0,1.0,Amb,0.0155,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_033,AF2,0.1965,0.1643,0.1965,0.1643,0.0322,0.0322,2,2,0,1.0,Amb,0.027,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_034,AF2,0.1579,0.1669,0.1579,0.1669,-0.009,-0.009,2,0,2,0.0,Amb,-0.0142,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_035,AF2,0.1638,0.1564,0.1638,0.1564,0.0074,0.0074,2,2,0,1.0,Amb,0.0022,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_036,AF2,0.1973,0.1618,0.1973,0.1618,0.0355,0.0355,2,2,0,1.0,Amb,0.0303,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_037,AF2,0.2491,0.2449,0.2491,0.2449,0.0042,0.0042,2,2,0,1.0,Amb,-0.001,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_038,AF2,0.257,0.2596,0.2309,0.2459,-0.0026,-0.015,2,0,2,0.0,Amb,-0.0078,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_039,AF2,0.3162,0.2965,0.2668,0.2453,0.0197,0.0215,2,2,0,1.0,Amb,0.0145,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_040,AF2,0.2064,0.2124,0.1998,0.211,-0.006,-0.0112,2,0,2,0.0,Amb,-0.0112,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_041,AF2,0.195,0.1616,0.195,0.1616,0.0334,0.0334,2,2,0,1.0,Amb,0.0282,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_042,AF2,0.1953,0.1805,0.1953,0.1805,0.0148,0.0148,2,2,0,1.0,Amb,0.0096,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_043,AF2,0.1787,0.1705,0.1787,0.1705,0.0083,0.0083,2,2,0,1.0,Amb,0.0031,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_044,AF2,0.2571,0.2504,0.2571,0.2504,0.0067,0.0067,2,2,0,1.0,Amb,0.0015,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_045,AF2,0.1827,0.1758,0.1827,0.1758,0.0069,0.0069,2,2,0,1.0,Amb,0.0017,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_046,AF2,0.3813,0.38,0.3813,0.38,0.0013,0.0013,2,2,0,1.0,Amb,-0.0039,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_047,AF2,0.183,0.1798,0.1778,0.1768,0.0032,0.001,2,1,1,0.5,Amb,-0.002,Amb,0.0052,,,,,,,
1dzlA_5keqF,ShallowMsa_048,AF2,0.2994,0.2905,0.2994,0.2905,0.0089,0.0089,2,2,0,1.0,Amb,0.0037,Amb,0.0052,,,,,,,
1dzlA_5keqF,DeepMsa,AF3,0.9297,0.9245,0.9291,0.9095,0.0052,0.0197,2,2,0,1.0,Amb,0.0052,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_000,AF3,0.2532,0.2585,0.2412,0.2558,-0.0053,-0.0146,2,1,1,0.5,Amb,-0.0157,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_001,AF3,0.2251,0.2032,0.2224,0.2014,0.0219,0.0209,2,2,0,1.0,Amb,0.0115,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_002,AF3,0.1746,0.1867,0.1746,0.1867,-0.0121,-0.0121,2,0,2,0.0,Amb,-0.0225,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_003,AF3,0.3601,0.3497,0.3597,0.3496,0.0104,0.0101,2,2,0,1.0,Amb,0.0,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_004,AF3,0.2056,0.227,0.2044,0.2265,-0.0214,-0.0221,2,0,2,0.0,Amb,-0.0318,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_005,AF3,0.4769,0.4665,0.4769,0.4665,0.0104,0.0104,2,2,0,1.0,Amb,0.0,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_006,AF3,0.6562,0.6395,0.6474,0.6362,0.0167,0.0112,2,1,1,0.5,Amb,0.0063,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_007,AF3,0.4896,0.4639,0.4891,0.4635,0.0257,0.0256,2,2,0,1.0,Amb,0.0153,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_008,AF3,0.2283,0.2205,0.2161,0.2102,0.0078,0.006,2,2,0,1.0,Amb,-0.0026,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_009,AF3,0.2361,0.2275,0.2262,0.2197,0.0086,0.0065,2,1,1,0.5,Amb,-0.0018,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_010,AF3,0.2081,0.1931,0.2081,0.1931,0.0149,0.0149,2,2,0,1.0,Amb,0.0045,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_011,AF3,0.4845,0.4804,0.4843,0.4802,0.0041,0.0041,2,2,0,1.0,Amb,-0.0063,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_012,AF3,0.21,0.2131,0.21,0.2131,-0.0031,-0.0031,2,0,2,0.0,Amb,-0.0135,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_013,AF3,0.2068,0.198,0.2056,0.1975,0.0087,0.0081,2,2,0,1.0,Amb,-0.0017,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_014,AF3,0.3478,0.3395,0.3474,0.3393,0.0082,0.0081,2,2,0,1.0,Amb,-0.0022,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_015,AF3,0.4754,0.4657,0.4754,0.4657,0.0097,0.0097,2,2,0,1.0,Amb,-0.0007,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_016,AF3,0.1685,0.1888,0.1684,0.1881,-0.0203,-0.0197,2,0,2,0.0,Amb,-0.0307,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_017,AF3,0.1952,0.1763,0.1952,0.1763,0.0189,0.0189,2,2,0,1.0,Amb,0.0085,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_018,AF3,0.222,0.2015,0.2214,0.2013,0.0205,0.02,2,2,0,1.0,Amb,0.0101,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_019,AF3,0.6801,0.6645,0.6725,0.6616,0.0156,0.0109,2,2,0,1.0,Amb,0.0052,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_020,AF3,0.2455,0.2328,0.2349,0.2289,0.0126,0.0059,2,1,1,0.5,Amb,0.0022,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_021,AF3,0.3106,0.2985,0.2554,0.2543,0.0121,0.0011,2,1,1,0.5,Amb,0.0017,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_022,AF3,0.244,0.2342,0.2326,0.2337,0.0097,-0.001,2,1,1,0.5,Amb,-0.0007,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_023,AF3,0.346,0.3394,0.346,0.3394,0.0066,0.0066,2,2,0,1.0,Amb,-0.0038,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_024,AF3,0.1903,0.1844,0.1898,0.1837,0.0059,0.0061,2,2,0,1.0,Amb,-0.0045,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_025,AF3,0.5042,0.4911,0.5042,0.4911,0.0131,0.0131,2,2,0,1.0,Amb,0.0027,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_026,AF3,0.3806,0.3699,0.3802,0.3697,0.0107,0.0105,2,2,0,1.0,Amb,0.0003,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_027,AF3,0.2622,0.2572,0.2381,0.2342,0.005,0.0039,2,2,0,1.0,Amb,-0.0054,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_028,AF3,0.2071,0.2257,0.2071,0.2257,-0.0186,-0.0186,2,0,2,0.0,Amb,-0.029,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_029,AF3,0.181,0.2069,0.181,0.2069,-0.0259,-0.0259,2,0,2,0.0,Amb,-0.0363,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_030,AF3,0.1949,0.2082,0.1887,0.2037,-0.0133,-0.015,2,0,2,0.0,Amb,-0.0237,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_031,AF3,0.501,0.4994,0.4229,0.4149,0.0015,0.008,2,2,0,1.0,Amb,-0.0089,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_032,AF3,0.503,0.4911,0.4896,0.4817,0.0119,0.0079,2,2,0,1.0,Amb,0.0015,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_033,AF3,0.2116,0.1784,0.2116,0.1784,0.0332,0.0332,2,2,0,1.0,Amb,0.0228,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_034,AF3,0.1918,0.2098,0.1918,0.2098,-0.018,-0.018,2,0,2,0.0,Amb,-0.0284,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_035,AF3,0.1698,0.1809,0.1693,0.1787,-0.0111,-0.0093,2,0,2,0.0,Amb,-0.0215,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_036,AF3,0.3711,0.3579,0.3708,0.3577,0.0132,0.0131,2,2,0,1.0,Amb,0.0028,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_037,AF3,0.2276,0.2278,0.2118,0.2274,-0.0003,-0.0156,2,0,2,0.0,Amb,-0.0107,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_038,AF3,0.6169,0.5718,0.5771,0.5516,0.0451,0.0255,2,2,0,1.0,Amb,0.0347,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_039,AF3,0.6256,0.5998,0.4356,0.4307,0.0258,0.0049,2,1,1,0.5,Amb,0.0154,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_040,AF3,0.5449,0.5336,0.5356,0.5263,0.0113,0.0093,2,2,0,1.0,Amb,0.0009,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_041,AF3,0.2197,0.2071,0.2064,0.1846,0.0126,0.0218,2,2,0,1.0,Amb,0.0022,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_042,AF3,0.3797,0.3726,0.377,0.3689,0.007,0.0082,2,2,0,1.0,Amb,-0.0034,Amb,0.0104,,,,,,,
