mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_000,1mnmD,0.851934090284041,0.8646464858910822,-0.012712395607041183,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_000.pdb,,0.00010997295907677618
ESMFold2_newmethod,ESMFold2,ShallowMsa_001,1mnmD,0.8551442174031093,0.8547487832333353,0.000395434169774056,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_001.pdb,,0.013217802735892015
ESMFold2_newmethod,ESMFold2,ShallowMsa_002,1mnmD,0.8364093242164315,0.8467679072894647,-0.010358583073033167,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_002.pdb,,0.0024637854930847913
ESMFold2_newmethod,ESMFold2,ShallowMsa_003,1mnmD,0.8602019236711232,0.8596271678603716,0.0005747558107516149,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_003.pdb,,0.013397124376869574
ESMFold2_newmethod,ESMFold2,ShallowMsa_004,1mnmD,0.7778135407487864,0.8054659430646245,-0.0276524023158381,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_004.pdb,,-0.01483003374972014
ESMFold2_newmethod,ESMFold2,ShallowMsa_005,1mnmD,0.7777170631242097,0.8133137804564421,-0.03559671733223235,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_005.pdb,,-0.022774348766114394
ESMFold2_newmethod,ESMFold2,ShallowMsa_006,1mnmD,0.9150239914197419,0.9075718041482062,0.007452187271535737,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_006.pdb,,0.020274555837653696
ESMFold2_newmethod,ESMFold2,ShallowMsa_007,1mnmD,0.8311533213398322,0.8378266910999673,-0.006673369760135106,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_007.pdb,,0.006148998805982853
ESMFold2_newmethod,ESMFold2,ShallowMsa_008,1mnmD,0.9096752456508889,0.8770213569975335,0.03265388865335539,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_008.pdb,,0.04547625721947335
ESMFold2_newmethod,ESMFold2,ShallowMsa_009,1mnmD,0.7575193842523447,0.7613939627641295,-0.003874578511784854,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_009.pdb,,0.008947790054333105
ESMFold2_newmethod,ESMFold2,ShallowMsa_010,1mnmD,0.7850681635870004,0.811990457281332,-0.026922293694331634,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_010.pdb,,-0.014099925128213675
ESMFold2_newmethod,ESMFold2,ShallowMsa_011,1mnmD,0.8225088500056782,0.8403940876899257,-0.017885237684247546,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_011.pdb,,-0.005062869118129587
ESMFold2_newmethod,ESMFold2,ShallowMsa_012,1mnmD,0.7553556749201915,0.7682880164453862,-0.012932341525194735,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_012.pdb,,-0.00010997295907677618
ESMFold2_newmethod,ESMFold2,ShallowMsa_013,1mnmD,0.8254513508558269,0.8645688427994569,-0.03911749194363001,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_013.pdb,,-0.026295123377512053
ESMFold2_newmethod,ESMFold2,ShallowMsa_014,1mnmD,0.6799581231767267,0.7143531002726854,-0.034394977095958734,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_014.pdb,,-0.021572608529840775
ESMFold2_newmethod,ESMFold2,ShallowMsa_015,1mnmD,0.8503825458014171,0.8543330982198669,-0.003950552418449771,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_015.pdb,,0.008871816147668188
ESMFold2_newmethod,ESMFold2,ShallowMsa_016,1mnmD,0.7535663567822607,0.7783436850258189,-0.02477732824355816,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_016.pdb,,-0.011954959677440202
ESMFold2_newmethod,ESMFold2,ShallowMsa_017,1mnmD,0.8777944430380478,0.9018206000145075,-0.02402615697645971,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_017.pdb,,-0.011203788410341753
ESMFold2_newmethod,ESMFold2,ShallowMsa_018,1mnmD,0.7487030780174194,0.7692538098512605,-0.02055073183384104,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_018.pdb,,-0.007728363267723082
ESMFold2_newmethod,ESMFold2,ShallowMsa_019,1mnmD,0.8161130722510964,0.835986270730184,-0.019873198479087528,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_019.pdb,,-0.0070508299129695695
ESMFold2_newmethod,ESMFold2,ShallowMsa_020,1mnmD,0.697527260916561,0.7015499690932419,-0.004022708176680823,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_020.pdb,,0.008799660389437136
ESMFold2_newmethod,ESMFold2,ShallowMsa_021,1mnmD,0.8577830240847881,0.853754216543519,0.004028807541269108,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_021.pdb,,0.016851176107387067
ESMFold2_newmethod,ESMFold2,ShallowMsa_022,1mnmD,0.7481878523952841,0.7608694983542935,-0.012681645959009447,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_022.pdb,,0.00014072260710851214
ESMFold2_newmethod,ESMFold2,ShallowMsa_023,1mnmD,0.8440623831867332,0.8554670057752789,-0.011404622588545688,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_023.pdb,,0.0014177459775722712
ESMFold2_newmethod,ESMFold2,ShallowMsa_024,1mnmD,0.8525706500541538,0.8847231600197952,-0.03215250996564145,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_024.pdb,,-0.019330141399523493
ESMFold2_newmethod,ESMFold2,ShallowMsa_025,1mnmD,0.6874006398161558,0.7082028847350875,-0.020802244918931678,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_025.pdb,,-0.00797987635281372
ESMFold2_newmethod,ESMFold2,ShallowMsa_026,1mnmD,0.829615870218265,0.8501462232964135,-0.020530353078148544,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_026.pdb,,-0.007707984512030586
ESMFold2_newmethod,ESMFold2,ShallowMsa_027,1mnmD,0.797299547692166,0.7963765224011738,0.0009230252909921965,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_027.pdb,,0.013745393857110155
ESMFold2_newmethod,ESMFold2,ShallowMsa_028,1mnmD,0.6951241107683571,0.7382899859298581,-0.043165875161500944,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_028.pdb,,-0.030343506595382985
ESMFold2_newmethod,ESMFold2,ShallowMsa_029,1mnmD,0.7663917618131302,0.7970259843130372,-0.030634222499906993,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_029.pdb,,-0.017811853933789035
ESMFold2_newmethod,ESMFold2,ShallowMsa_030,1mnmD,0.8422617510132149,0.8460747423394037,-0.0038129913261888415,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_030.pdb,,0.009009377239929117
ESMFold2_newmethod,ESMFold2,ShallowMsa_031,1mnmD,0.7633134559865791,0.7948239116196747,-0.031510455633095624,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_031.pdb,,-0.018688087066977666
ESMFold2_newmethod,ESMFold2,ShallowMsa_032,1mnmD,0.8327614330630673,0.8498047812189727,-0.01704334815590547,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_032.pdb,,-0.00422097958978751
ESMFold2_newmethod,ESMFold2,ShallowMsa_033,1mnmD,0.7201167796147793,0.7487602291291422,-0.02864344951436293,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_033.pdb,,-0.01582108094824497
ESMFold2_newmethod,ESMFold2,ShallowMsa_034,1mnmD,0.7929448411391357,0.8201746049500477,-0.027229763810912022,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_034.pdb,,-0.014407395244794063
ESMFold2_newmethod,ESMFold2,ShallowMsa_035,1mnmD,0.8123021436006159,0.8300834890696477,-0.017781345469031762,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_035.pdb,,-0.004958976902913803
ESMFold2_newmethod,ESMFold2,ShallowMsa_036,1mnmD,0.7983180495017361,0.8227676940475058,-0.0244496445457697,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_036.pdb,,-0.011627275979651741
ESMFold2_newmethod,ESMFold2,ShallowMsa_037,1mnmD,0.8457008643176681,0.8392315818798768,0.006469282437791324,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_037.pdb,,0.019291651003909283
ESMFold2_newmethod,ESMFold2,ShallowMsa_038,1mnmD,0.857199062744594,0.8502799849215766,0.006919077823017372,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_038.pdb,,0.01974144638913533
ESMFold2_newmethod,ESMFold2,ShallowMsa_039,1mnmD,0.8189988273470822,0.8546778936254227,-0.0356790662783405,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_039.pdb,,-0.02285669771222254
ESMFold2_newmethod,ESMFold2,ShallowMsa_040,1mnmD,0.7633161794827679,0.7699678586857959,-0.006651679203028005,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_040.pdb,,0.006170689363089954
ESMFold2_newmethod,ESMFold2,ShallowMsa_041,1mnmD,0.8914829451065459,0.8854663382818119,0.006016606824734039,Pipeline/FoldPairs/1mnmD_1mnmC/output_esmfold2/ShallowMsa_041.pdb,,0.018838975390851997
