pair_id,n_clusters,n_methods_present,observed_mean_concordance_corrected,observed_mean_n_clusters,n_perm,perm_mean_concordance_p,p_bh
2n54B_2hdmA,21,5,0.6666666666666667,21,1000,0.000999000999000999,0.08491508491508491
1zk9A_3jv6A,20,5,0.6749999999999999,20,1000,0.001998001998001998,0.08491508491508491
3lqcA_1xntA,11,5,0.6363636363636364,11,1000,0.01998001998001998,0.35853035853035853
4qhhA_4qhfA,10,5,0.6666666666666666,10,1000,0.02197802197802198,0.35853035853035853
1nqjB_1nqdA,15,5,0.6222222222222221,15,1000,0.022977022977022976,0.35853035853035853
3ztjE_5hmgA,5,5,0.8666666666666667,5,1000,0.027972027972027972,0.35853035853035853
1qlnA_1h38D,10,5,0.6499999999999999,10,1000,0.03196803196803197,0.35853035853035853
3kdsG_2ce7C,19,5,0.5578947368421053,19,1000,0.03496503496503497,0.35853035853035853
3r9jC_2kxoA,20,5,0.61,20,1000,0.03796203796203796,0.35853035853035853
2c1vB_2c1uC,18,5,0.5777777777777778,18,1000,0.07392607392607392,0.6252838071019888
4rwqB_4rwnA,11,5,0.5909090909090909,11,1000,0.08091908091908091,0.6252838071019888
5jytA_2qkeE,22,4,0.5606060606060606,22,1000,0.10789210789210789,0.684981684981685
3l9qB_4rr2D,14,5,0.6428571428571429,8,1000,0.1088911088911089,0.684981684981685
2kkwA_2n0aD,3,5,1.0,3,1000,0.11988011988011989,0.684981684981685
2lepA_4hddA,20,5,0.53,20,1000,0.12087912087912088,0.684981684981685
2k42A_1ceeB,20,5,0.55,20,1000,0.13786213786213786,0.7323926073926074
4pyjA_4pyiA,19,5,0.5368421052631578,19,1000,0.15984015984015984,0.7972582972582972
5bmyA_5b3zA,16,5,0.5416666666666666,16,1000,0.16883116883116883,0.7972582972582972
5c1vB_5c1vA,18,5,0.5444444444444445,18,1000,0.20679320679320679,0.8831168831168832
5et5A_3ifaA,20,5,0.53,20,1000,0.2077922077922078,0.8831168831168832
4o01D_4o0pA,16,5,0.5625,16,1000,0.23676323676323677,0.9583273868988155
3lowA_3m1bF,20,5,0.51,20,1000,0.2597402597402597,1.0
4gqcB_4gqcC,21,5,0.5142857142857142,21,1000,0.3086913086913087,1.0
4dxrA_4dxtA,20,5,0.5249999999999999,20,1000,0.34765234765234765,1.0
1nrjB_2gedB,18,5,0.5092592592592592,18,1000,0.3966033966033966,1.0
2qqjA_4qdsA,18,5,0.5,18,1000,0.4035964035964036,1.0
2namA_1uxmK,21,5,0.5142857142857142,21,1000,0.4075924075924076,1.0
3m7pA_3ejhA,7,5,0.5396825396825397,5,1000,0.4405594405594406,1.0
2uy7D_5fluE,21,5,0.4920634920634921,21,1000,0.45754245754245754,1.0
2lv1A_6lniA,3,5,0.5,3,1000,0.46253746253746253,1.0
4h2aA_3j9cA,3,5,0.5,3,1000,0.47952047952047955,1.0
6c6sD_2ougC,19,5,0.5052631578947369,19,1000,0.4805194805194805,1.0
3hdfA_3hdeA,21,5,0.49523809523809526,21,1000,0.48451548451548454,1.0
1rk4B_1k0nA,16,5,0.5208333333333334,16,1000,0.4865134865134865,1.0
1fzpD_2frhA,8,5,0.5,8,1000,0.5024975024975025,1.0
4n9wA_4nc9C,17,5,0.5058823529411764,17,1000,0.5024975024975025,1.0
1nocA_1qomB,19,5,0.5,19,1000,0.5194805194805194,1.0
2mwfA_2nntA,21,5,0.49523809523809526,21,1000,0.5214785214785215,1.0
3v0tA_3uyiA,20,5,0.5,20,1000,0.5354645354645354,1.0
4xwsD_4y0mJ,20,5,0.49000000000000005,20,1000,0.5364635364635365,1.0
3l5nB_2a73B,14,5,0.5,14,1000,0.5754245754245755,1.0
4aalA_4aanA,19,5,0.4947368421052631,19,1000,0.5884115884115884,1.0
4ydqB_4twaA,17,5,0.45882352941176474,17,1000,0.5914085914085914,1.0
2p3vD_2p3vA,19,5,0.48421052631578937,19,1000,0.5954045954045954,1.0
4yhdG_7ahlE,2,5,0.5,2,1000,0.6153846153846154,1.0
5wrgC_1wyyB,2,4,0.5,2,1000,0.6263736263736264,1.0
4cmqB_4zt0C,7,5,0.5,7,1000,0.6333666333666333,1.0
2jmrA_4j3oF,20,5,0.48333333333333334,20,1000,0.6673326673326674,1.0
5f5rB_5f3kA,19,4,0.48245614035087714,19,1000,0.6773226773226774,1.0
4q79F_4uv2D,19,5,0.48245614035087714,19,1000,0.6913086913086913,1.0
3meeA_4b3oB,10,5,0.46666666666666656,10,1000,0.7702297702297702,1.0
2vfxL_3gmhL,20,5,0.46666666666666673,20,1000,0.7922077922077922,1.0
3g0hA_3ewsB,18,5,0.4555555555555556,18,1000,0.7922077922077922,1.0
2h44A_1rkpA,20,5,0.45000000000000007,20,1000,0.7992007992007992,1.0
5hk5H_4jphB,12,4,0.4583333333333333,12,1000,0.8061938061938062,1.0
1kctA_3t1pA,20,5,0.49000000000000005,20,1000,0.8111888111888111,1.0
2z9oB_1repC,16,5,0.4479166666666667,16,1000,0.8191808191808192,1.0
3j7vG_3j7wB,5,5,0.43333333333333335,5,1000,0.8341658341658341,1.0
2bzyB_2lqwA,4,5,0.4,2,1000,0.8411588411588412,1.0
4zrbH_4zrbC,21,5,0.4444444444444444,21,1000,0.8651348651348651,1.0
1mnmD_1mnmC,20,5,0.47000000000000003,20,1000,0.9010989010989011,1.0
1xjuB_1xjtA,18,5,0.4444444444444444,18,1000,0.9090909090909091,1.0
1qb3A_3qy2A,20,5,0.44166666666666665,20,1000,0.9120879120879121,1.0
1jfkA_2nxqB,21,5,0.45714285714285713,21,1000,0.913086913086913,1.0
1xtgB_3j97M,20,5,0.39999999999999997,20,1000,0.9760239760239761,1.0
1x0gD_1x0gA,21,5,0.44761904761904764,21,1000,0.989010989010989,1.0
5lj3M_3tp2A,6,4,0.38888888888888884,6,1000,0.991008991008991,1.0
1miqB_1qs8B,15,5,0.4133333333333334,15,1000,0.998001998001998,1.0
2lelA_2k0qA,1,5,0.4,1,1000,1.0,1.0
5jztG_5jzhA,1,4,0.3333333333333333,1,1000,1.0,1.0
5l35G_5l35D,1,4,0.3333333333333333,1,1000,1.0,1.0
5ly6B_5aoeB,4,4,0.3333333333333333,4,1000,1.0,1.0
1eboE_5fhcJ,2,5,0.3333333333333333,2,1000,1.0,1.0
5i2sA_5i2mA,1,4,1.0,1,1000,1.0,1.0
1svfC_4wsgC,1,5,0.5,1,1000,1.0,1.0
4tsyD_3zwgN,1,5,0.3333333333333333,1,1000,1.0,1.0
1wp8C_5ejbC,1,5,1.0,1,1000,1.0,1.0
3t5oA_4a5wB,2,5,0.3333333333333333,2,1000,1.0,1.0
3mkoA_5ineA,1,5,0.3333333333333333,1,1000,1.0,1.0
1xezA_3o44A,1,5,0.5,1,1000,1.0,1.0
2wcdX_4phqA,1,5,0.3333333333333333,1,1000,1.0,1.0
2kb8A_6vw2A,2,5,0.3333333333333333,2,1000,1.0,1.0
2pbkB_3njqA,1,5,0.3333333333333333,1,1000,1.0,1.0
1iytA_2naoF,1,5,0.5,1,1000,1.0,1.0
1dzlA_5keqF,5,5,0.3333333333333333,5,1000,1.0,1.0
