pair_id,mean_concordance_corrected,mean_n_clusters_corrected,n_method_pairs,AF2~ESM_pct_corrected,AF2~ESM_n_corrected,AF2~DDG_pct_corrected,AF2~DDG_n_corrected,ESM~DDG_pct_corrected,ESM~DDG_n_corrected,AF2~MSAT_pct_corrected,AF2~MSAT_n_corrected,ESM~MSAT_pct_corrected,ESM~MSAT_n_corrected,MSAT~DDG_pct_corrected,MSAT~DDG_n_corrected
1dzlA_5keqF,0.3922902494331066,20.333333333333332,3,0.3333333333333333,6.0,0.5102040816326531,49,0.3333333333333333,6.0,,,,,,
1eboE_5fhcJ,0.75,16.0,3,0.5,2.0,0.75,44,1.0,2.0,,,,,,
1fzpD_2frhA,0.40879629629629627,21.666666666666668,6,0.25,8.0,0.5777777777777777,90,0.0,8.0,0.625,8.0,0.375,8.0,0.625,8.0
1iytA_2naoF,0.2638888888888889,2.8333333333333335,6,0.0,1.0,0.5833333333333334,12,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1jfkA_2nxqB,0.5211111111111111,34.166666666666664,6,0.38095238095238093,21.0,0.46,100,0.7619047619047619,21.0,0.42857142857142855,21.0,0.47619047619047616,21.0,0.6190476190476191,21.0
1mnmD_1mnmC,0.5066666666666667,33.333333333333336,6,0.65,20.0,0.49,100,0.6,20.0,0.4,20.0,0.45,20.0,0.45,20.0
1nqjB_1nqdA,0.571111111111111,29.166666666666668,6,0.6666666666666666,15.0,0.56,100,0.4,15.0,0.5333333333333333,15.0,0.6,15.0,0.6666666666666666,15.0
1nrjB_2gedB,0.4298148148148147,31.666666666666668,6,0.3333333333333333,18.0,0.69,100,0.16666666666666666,18.0,0.3333333333333333,18.0,0.7777777777777778,18.0,0.2777777777777778,18.0
1qb3A_3qy2A,0.5366666666666667,33.333333333333336,6,0.65,20.0,0.52,100,0.6,20.0,0.65,20.0,0.5,20.0,0.3,20.0
1rk4B_1k0nA,0.5279166666666667,30.0,6,0.625,16.0,0.48,100,0.4375,16.0,0.4375,16.0,0.6875,16.0,0.5,16.0
1svfC_4wsgC,0.375,1.5,6,0.0,1.0,0.25,4,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1wp8C_5ejbC,0.25555555555555554,3.3333333333333335,6,0.0,1.0,0.5333333333333333,15,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1xezA_3o44A,0.38095238095238093,2.0,6,0.0,1.0,0.2857142857142857,7,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2grmB_2axzA,0.0,2.0,1,,,0.0,2,,,,,,,,
2kb8A_6vw2A,0.6333333333333333,8.0,3,0.5,2.0,0.4,20,1.0,2.0,,,,,,
2kkwA_2n0aD,0.38888888888888884,12.666666666666666,3,0.3333333333333333,3.0,0.5,32,0.3333333333333333,3.0,,,,,,
