pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,morans_I,morans_p,morans_z,morans_lambda_max,morans_max_perm,morans_I_norm,morans_n,morans_note,notes,n_clusters,morans_p_bh,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
1dzlA_5keqF,AF2,49,0,0,49,,,,,,,,-0.0311,0.7672,-0.719,0.3563,0.2887,-0.0332,49,,no_F1F2_split,49,0.8681473684210527,,,
1dzlA_5keqF,AF3,49,0,0,49,,,,,,,,0.008,0.045,1.986,0.3563,0.2062,0.127,49,,no_F1F2_split,49,0.1376,,,
1dzlA_5keqF,Boltz2,49,0,0,49,,,,,,,,-0.0278,0.6513,-0.499,0.3563,0.179,-0.035,49,,no_F1F2_split,49,0.9045833333333333,,,
1dzlA_5keqF,ESM,49,0,1,48,,,,,,,,-0.0314,0.8282,-0.822,0.3563,0.2443,-0.0398,49,,no_F1F2_split,49,0.9015848101265823,,,
1dzlA_5keqF,MSAT,49,0,0,49,,,,,,,,,,,,,,5,zero_variance,no_F1F2_split,49,,,,
1dzlA_5keqF,CCMpred,49,0,0,49,,,,,,,,,,,,,,5,zero_variance,no_F1F2_split,49,,,,
1dzlA_5keqF,DDG,49,12,12,25,,,,,,,,0.0332,0.009,3.895,0.3563,0.2351,0.2112,49,,,49,0.015176470588235293,,,
1dzlA_5keqF,S4PRED,49,0,0,49,,,,,,,,-0.0027,0.0969,1.308,0.3563,0.3161,0.0538,49,,no_F1F2_split,49,0.18116086956521738,,,
1eboE_5fhcJ,AF2,44,20,15,9,,,,,,,,0.0287,0.003,6.198,0.1912,0.1404,0.3176,44,,,44,0.0258,,,
1eboE_5fhcJ,AF3,44,18,13,13,,,,,,,,0.0249,0.002,5.579,0.1912,0.1504,0.2771,44,,,44,0.02866666666666667,,,
1eboE_5fhcJ,Boltz2,44,16,24,4,,,,,,,,0.0589,0.001,8.977,0.1912,0.1869,0.3909,44,,,44,0.012499999999999999,,,
1eboE_5fhcJ,ESM,44,15,19,10,,,,,,,,0.0346,0.002,6.574,0.1912,0.1867,0.2757,44,,,44,0.00819047619047619,,,
1eboE_5fhcJ,MSAT,44,0,0,44,,,,,,,,,,,,,,2,n<3,no_F1F2_split,44,,,,
1eboE_5fhcJ,CCMpred,44,0,0,44,,,,,,,,,,,,,,2,n<3,no_F1F2_split,44,,,,
1eboE_5fhcJ,DDG,44,11,13,20,,,,,,,,0.0561,0.001,9.044,0.1912,0.1742,0.4019,44,,,44,0.0026875000000000002,,,
1eboE_5fhcJ,S4PRED,44,26,12,6,,,,,,,,0.0378,0.001,7.571,0.1912,0.1166,0.4363,44,,,44,0.009555555555555557,,,
1fzpD_2frhA,AF2,90,15,9,66,,,,,,,,-0.0079,0.1289,1.052,0.1578,0.1033,0.0293,90,,,90,0.3167257142857142,,,
1fzpD_2frhA,AF3,90,13,9,68,,,,,,,,-0.0027,0.023,2.778,0.1578,0.0988,0.0779,90,,,90,0.09828571428571428,,,
1fzpD_2frhA,Boltz2,90,0,0,90,,,,,,,,,,,,,,0,n<3,no_F1F2_split,90,,,,
1fzpD_2frhA,ESM,90,23,25,42,,,,,,,,0.0125,0.001,7.638,0.1578,0.1317,0.1661,90,,,90,0.005058823529411765,,,
1fzpD_2frhA,MSAT,90,0,1,89,,,,,,,,-0.1604,0.7642,-0.553,0.112,-0.0972,-0.3832,8,,no_F1F2_split,90,0.999,,,
1fzpD_2frhA,CCMpred,90,0,0,90,,,,,,,,,,,,,,8,zero_variance,no_F1F2_split,90,,,,
1fzpD_2frhA,DDG,90,12,14,64,,,,,,,,0.0252,0.001,11.595,0.1578,0.1299,0.2582,90,,,90,0.0026875000000000002,,,
1fzpD_2frhA,S4PRED,90,12,2,76,,,,,,,,-0.0039,0.03,2.588,0.1578,0.0889,0.0732,90,,,90,0.07818181818181819,,,
1iytA_2naoF,AF2,12,3,3,6,,,,,,,,-0.0819,0.2987,0.383,0.0446,0.0249,0.0777,12,,,12,0.5087490196078431,,,
1iytA_2naoF,AF3,12,5,7,0,,,,,,,,-0.0265,0.012,3.133,0.0446,0.0292,0.5366,12,,,12,0.06576470588235293,,,
