pdb_chain,pdb_id,chain,length,resolution
6RXIA,6RXI,A,129,2.0
2BWFB,2BWF,B,77,1.15
1GRTA,1GRT,A,478,2.3
7QWKG,7QWK,G,318,2.3
3PB6A,3PB6,A,330,1.05
3K3KA,3K3K,A,211,1.7
3FPVD,3FPV,D,192,2.2
2IPHB,2IPH,B,181,1.75
7PKCL,7PKC,L,496,1.5
1ZZ8A,1ZZ8,A,198,2.3
7B1QA,7B1Q,A,402,1.94
7QORF,7QOR,F,263,1.999
5V96D,5V96,D,480,2.0
1W6FC,1W6F,C,278,2.1
6G2CA,6G2C,A,136,1.76
4UWPA,4UWP,A,235,1.7
1ICPA,1ICP,A,376,1.9
1HVYA,1HVY,A,288,1.9
1XW5B,1XW5,B,217,1.8
3EWQA,3EWQ,A,168,2.1
3HBGA,3HBG,A,466,1.9
5O0OE,5O0O,E,323,2.2
6IPMA,6IPM,A,356,1.72
1H1YB,1H1Y,B,228,1.87
5YYPA,5YYP,A,207,1.01
3BASA,3BAS,A,89,2.3
7K0AB,7K0A,B,208,2.0
6U7TA,6U7T,A,366,2.0
7GRJB,7GRJ,B,306,1.74
5V6DG,5V6D,G,149,1.85
4UAPA,4UAP,A,152,2.0
3F8MA,3F8M,A,248,1.8
5BVRA,5BVR,A,236,1.46
6FSMA,6FSM,A,316,1.39
3PWZA,3PWZ,A,272,1.705
8QR2A,8QR2,A,364,1.64
9PPRC,9PPR,C,106,1.57
1BLZA,1BLZ,A,331,1.45
7WNLB,7WNL,B,205,1.51
8PQEB,8PQE,B,327,2.0
2QH5B,2QH5,B,308,2.3
7GE5A,7GE5,A,306,1.641
4V2BB,4V2B,B,161,2.0
4DZIC,4DZI,C,423,1.6
3PV2A,3PV2,A,451,2.15
2PRDA,2PRD,A,174,2.0
3EC9B,3EC9,B,140,1.6
7YC7A,7YC7,A,482,1.95
4D8WB,4D8W,B,342,2.01
1ZWHA,1ZWH,A,240,1.65
1XNKA,1XNK,A,196,1.55
4LE6C,4LE6,C,324,2.1
1YKDA,1YKD,A,398,1.9
4HN8F,4HN8,F,473,2.2
9GI6A,9GI6,A,306,1.83
4EMLC,4EML,C,275,2.043
6J4NF,6J4N,F,372,2.1
3NEZD,3NEZ,D,244,1.7
8Q4KC,8Q4K,C,214,2.4
1LL9A,1LL9,A,358,1.87
7NMLB,7NML,B,133,1.43
5DZJA,5DZJ,A,370,2.095
5TC7A,5TC7,A,297,1.75
2FDYA,2FDY,A,476,1.95
4L5OB,4L5O,B,218,2.09
1UAGA,1UAG,A,437,1.95
5WW3A,5WW3,A,161,2.05
3SSSB,3SSS,B,110,2.05
8YFHB,8YFH,B,402,1.8
6PCZA,6PCZ,A,417,1.44
6N4EA,6N4E,A,200,1.65
9L6DC,9L6D,C,148,2.38
4I4CB,4I4C,B,415,1.95
6CYQD,6CYQ,D,263,1.698
3A13G,3A13,G,444,2.34
7H9DB,7H9D,B,163,1.53
1S2VD,1S2V,D,295,2.1
1M5UA,1M5U,A,124,1.87
6X9FC,6X9F,C,466,2.35
3GGUA,3GGU,A,99,1.8
8B4GA,8B4G,A,228,1.496
3RZAA,3RZA,A,396,2.1
1UJNB,1UJN,B,348,1.8
9IMSB,9IMS,B,335,2.27
3HCJA,3HCJ,A,154,1.66
9NSJB,9NSJ,B,199,1.33
1ZLJA,1ZLJ,A,78,2.0
4LFIB,4LFI,B,374,1.85
3PVNE,3PVN,E,206,1.98
5CPYB,5CPY,B,284,1.93
6QWVD,6QWV,D,164,2.47
9BCYB,9BCY,B,157,1.18
4INXA,4INX,A,140,1.853
2R0HD,2R0H,D,164,1.9
4JJPB,4JJP,B,267,2.056
4GYDF,4GYD,F,86,1.8
3DBYJ,3DBY,J,269,2.1
6ZBWA,6ZBW,A,362,1.4
3NTUA,3NTU,A,319,1.9
7GY6A,7GY6,A,394,1.92
