pdb_file,score_pdb1,score_pdb2,Fold,cluster_num,unique_fold_score
DeepMsa_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,0.48078,0.42618,4ow6,Query,1.0
DeepMsa_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.45243,0.42472,4ow6,Query,1.0
DeepMsa_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.52905,0.45121,4ow6,Query,1.0
DeepMsa_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.51943,0.45483,4ow6,Query,1.0
DeepMsa_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,0.45681,0.41134,4ow6,Query,1.0
DeepMsa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.73533,0.84475,3qy2,Query,0.0
DeepMsa_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.73269,0.84431,3qy2,Query,0.0
DeepMsa_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.7362,0.84522,3qy2,Query,0.0
DeepMsa_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.72906,0.84566,3qy2,Query,0.0
DeepMsa_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.70021,0.81049,3qy2,Query,0.0
ShallowMsa_000_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.47042,0.57545,3qy2,000,0.0
ShallowMsa_000_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.46216,0.54043,3qy2,000,0.0
ShallowMsa_000_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.44693,0.54068,3qy2,000,0.0
ShallowMsa_000_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.43284,0.51725,3qy2,000,0.0
ShallowMsa_000_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,0.47683,0.56173,3qy2,000,0.0
ShallowMsa_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.60168,0.68658,3qy2,001,0.0
ShallowMsa_001_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.60132,0.68617,3qy2,001,0.0
ShallowMsa_001_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.61437,0.71186,3qy2,001,0.0
