pair_id,n_clusters,n_f1,n_f2,n_amb,n_transitions,n_fold_transitions,pattern,root_state,p_value,method,esm_agree_pct,error
1dzlA_5keqF,5.0,0.0,0.0,5.0,0.0,0.0,uniform,Amb,,fitch,100.0,
1eboE_5fhcJ,2.0,0.0,0.0,2.0,0.0,0.0,uniform,Amb,,fitch,0.0,
1fzpD_2frhA,8.0,1.0,1.0,6.0,2.0,1.0,recent_emergence,Amb,1.0,fitch,50.0,
1iytA_2naoF,1.0,0.0,0.0,1.0,0.0,0.0,uniform,Amb,,fitch,0.0,
1jfkA_2nxqB,21.0,2.0,2.0,17.0,4.0,0.0,uniform,Amb,1.0,fitch,28.6,
1kctA_3t1pA,20.0,0.0,0.0,20.0,0.0,0.0,uniform,Amb,,fitch,100.0,
1miqB_1qs8B,15.0,0.0,0.0,15.0,0.0,0.0,uniform,Amb,,fitch,86.7,
1mnmD_1mnmC,20.0,0.0,0.0,20.0,0.0,0.0,uniform,Amb,,fitch,100.0,
1nocA_1qomB,19.0,0.0,0.0,19.0,0.0,0.0,uniform,Amb,,fitch,100.0,
1nqjB_1nqdA,15.0,1.0,0.0,14.0,1.0,0.0,uniform,Amb,,fitch,93.3,
1nrjB_2gedB,18.0,1.0,5.0,12.0,4.0,0.0,uniform,Amb,0.073,fitch,55.6,
1qb3A_3qy2A,20.0,0.0,0.0,20.0,0.0,0.0,uniform,Amb,,fitch,100.0,
1qlnA_1h38D,10.0,0.0,0.0,10.0,0.0,0.0,uniform,Amb,,fitch,70.0,
1rk4B_1k0nA,16.0,2.0,2.0,12.0,4.0,0.0,uniform,Amb,1.0,fitch,62.5,
1svfC_4wsgC,1.0,1.0,0.0,0.0,0.0,0.0,uniform,F1,,fitch,100.0,
1wp8C_5ejbC,1.0,0.0,0.0,1.0,0.0,0.0,uniform,Amb,,fitch,100.0,
1x0gD_1x0gA,21.0,9.0,1.0,11.0,9.0,0.0,uniform,F1,0.933,fitch,52.4,
1xezA_3o44A,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,100.0,
1xjuB_1xjtA,18.0,2.0,2.0,14.0,4.0,0.0,uniform,Amb,1.0,fitch,61.1,
1xtgB_3j97M,20.0,0.0,1.0,19.0,1.0,0.0,uniform,Amb,,fitch,95.0,
1zk9A_3jv6A,20.0,5.0,0.0,15.0,2.0,0.0,uniform,Amb,,fitch,75.0,
2bzyB_2lqwA,4.0,1.0,1.0,2.0,2.0,0.0,uniform,F2,1.0,fitch,50.0,
2c1vB_2c1uC,18.0,0.0,0.0,18.0,0.0,0.0,uniform,Amb,,fitch,100.0,
2grmB_2axzA,,,,,,,,,,,,timeout after 120s
2h44A_1rkpA,20.0,0.0,0.0,20.0,0.0,0.0,uniform,Amb,,fitch,100.0,
2jmrA_4j3oF,20.0,1.0,0.0,19.0,1.0,0.0,uniform,Amb,,fitch,100.0,
2k42A_1ceeB,20.0,9.0,8.0,3.0,8.0,5.0,complex,F1,0.421,fitch,80.0,
2kb8A_6vw2A,2.0,1.0,1.0,0.0,1.0,1.0,ancient_divergence,F1,1.0,fitch,0.0,
2kkwA_2n0aD,3.0,0.0,0.0,3.0,0.0,0.0,uniform,Amb,,fitch,100.0,
2lelA_2k0qA,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,100.0,
2lepA_4hddA,20.0,5.0,7.0,8.0,10.0,3.0,complex,F1,0.795,fitch,40.0,
2lv1A_6lniA,3.0,1.0,1.0,1.0,2.0,1.0,ancient_divergence,F1,1.0,fitch,0.0,
2mwfA_2nntA,21.0,0.0,2.0,19.0,2.0,0.0,uniform,Amb,,fitch,85.7,
2n54B_2hdmA,21.0,6.0,3.0,12.0,8.0,2.0,complex,Amb,0.602,fitch,57.1,
2namA_1uxmK,21.0,7.0,7.0,7.0,8.0,3.0,complex,Amb,0.076,fitch,61.9,
2p3vD_2p3vA,19.0,0.0,0.0,19.0,0.0,0.0,uniform,Amb,,fitch,100.0,
2pbkB_3njqA,1.0,1.0,0.0,0.0,0.0,0.0,uniform,F1,,fitch,0.0,
2qqjA_4qdsA,18.0,5.0,6.0,7.0,9.0,3.0,complex,F1,0.723,fitch,38.9,
2uy7D_5fluE,21.0,3.0,1.0,17.0,4.0,0.0,uniform,Amb,1.0,fitch,85.7,
2vfxL_3gmhL,20.0,2.0,6.0,12.0,7.0,1.0,recent_emergence,Amb,0.574,fitch,60.0,
2wcdX_4phqA,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,100.0,
2z9oB_1repC,16.0,3.0,5.0,8.0,7.0,0.0,uniform,Amb,0.664,fitch,50.0,
3g0hA_3ewsB,18.0,1.0,0.0,17.0,1.0,0.0,uniform,Amb,,fitch,83.3,
3hdfA_3hdeA,21.0,3.0,2.0,16.0,5.0,0.0,uniform,F2,1.0,fitch,76.2,
3j7vG_3j7wB,5.0,1.0,0.0,4.0,1.0,0.0,uniform,Amb,,fitch,60.0,
3kdsG_2ce7C,19.0,4.0,6.0,9.0,9.0,1.0,recent_emergence,F2,0.823,fitch,47.4,
3l5nB_2a73B,14.0,0.0,1.0,13.0,1.0,0.0,uniform,Amb,,fitch,92.9,
3l9qB_4rr2D,14.0,0.0,3.0,11.0,3.0,0.0,uniform,Amb,,fitch,78.6,
